source_schema,source_table,source_column,table_description,column_description,column_data_type
dbo,cmc_aapr_ac_prepro,grgr_ck,Automatic Actions Pre-processing Data,Group Contrived Key,int
dbo,cmc_aapr_ac_prepro,sbsb_ck,Automatic Actions Pre-processing Data,Subscriber Contrived Key,int
dbo,cmc_aapr_ac_prepro,aapr_weight,Automatic Actions Pre-processing Data,Weight,int
dbo,cmc_aapr_ac_prepro,aapr_row_id,Automatic Actions Pre-processing Data,Row ID,numeric
dbo,cmc_aapr_ac_prepro,aapr_source_ind,Automatic Actions Pre-processing Data,Source Indicator,char
dbo,cmc_aapr_ac_prepro,aapr_lock_token,Automatic Actions Pre-processing Data,Lock Token,smallint
dbo,cmc_aapr_ac_prepro,atxr_source_id,Automatic Actions Pre-processing Data,Attachment Source Id,datetime
dbo,cmc_abe0_work_table,abe0_row_id, ,Row Identifier,numeric
dbo,cmc_abe0_work_table,msia_row_id, ,Row Identifier,numeric
dbo,cmc_abe0_work_table,grgr_ck, ,Group Address Line 1,int
dbo,cmc_abe0_work_table,sbsb_ck, ,Subscriber Contrived Key,int
dbo,cmc_abe0_work_table,meme_ck, ,Member Contrived Key,int
dbo,cmc_abe0_work_table,msia_orig_code, ,Membership Interface Activity Origin Code,char
dbo,cmc_abe0_work_table,abe0_sts, , ,char
dbo,cmc_abe0_work_table,abe0_accum_cnt, , ,int
dbo,cmc_abef_work_table,abef_row_id,Family Accumulator Work Table,Row ID,numeric
dbo,cmc_abef_work_table,sbsb_ck,Family Accumulator Work Table,Subscriber Contrived Key,int
dbo,cmc_abef_work_table,pdpd_acc_sfx,Family Accumulator Work Table,Accumulator Suffix,char
dbo,cmc_abef_work_table,fatx_acc_type,Family Accumulator Work Table,Accumulator type,char
dbo,cmc_abef_work_table,acac_acc_no,Family Accumulator Work Table,Accumulator Number,smallint
dbo,cmc_abef_work_table,fatx_ben_beg_dt,Family Accumulator Work Table,Benefit Period Begin Date,datetime
dbo,cmc_abef_work_table,fatx_seq_no,Family Accumulator Work Table,Accumulator Sequence Number,int
dbo,cmc_abef_work_table,abef_sts,Family Accumulator Work Table,Status,char
dbo,cmc_abef_work_table,abef_acc_cnt,Family Accumulator Work Table,Accumulator Count,int
