source_schema,source_table,source_column,table_description,column_description,column_data_type
dbo,cmc_cmab_asmt_base,cmcm_id,Assessment Type (Base),Case Management ID,char
dbo,cmc_cmab_asmt_base,cmab_assess_ind,Assessment Type (Base),Assessment/Evaluation Indicator,char
dbo,cmc_cmab_asmt_base,cmab_mctr_type,Assessment Type (Base),Assessment/Evaluation Type,char
dbo,cmc_cmab_asmt_base,cmab_seq_no,Assessment Type (Base),Assessment/Evaluation Sequence Number,smallint
dbo,cmc_cmab_asmt_base,cmab_assess_dtm,Assessment Type (Base),Assessment/Evaluation Date and Time,datetime
dbo,cmc_cmab_asmt_base,cmab_lock_token,Assessment Type (Base),Lock Token,smallint
dbo,cmc_cmab_asmt_base,atxr_source_id,Assessment Type (Base),Attachment Source Id,datetime
dbo,cmc_cmas_assess,cmcm_id,Case Management Assessment and Response Codes,Case Management ID,char
dbo,cmc_cmas_assess,cmab_assess_ind,Case Management Assessment and Response Codes,Assessment/Evaluation Indicator,char
dbo,cmc_cmas_assess,cmab_mctr_type,Case Management Assessment and Response Codes,Assessment/Evaluation Type,char
dbo,cmc_cmas_assess,cmab_seq_no,Case Management Assessment and Response Codes,Assessment/Evaluation Sequence Number,smallint
dbo,cmc_cmas_assess,cmas_seq_no,Case Management Assessment and Response Codes,Assessment Sequence No.,smallint
dbo,cmc_cmas_assess,cmas_mctr_asmt,Case Management Assessment and Response Codes,Assessment Question,char
dbo,cmc_cmas_assess,cmas_response_ind,Case Management Assessment and Response Codes,Assessment Response,char
dbo,cmc_cmas_assess,cmas_text,Case Management Assessment and Response Codes,Assessment Results,char
dbo,cmc_cmas_assess,cmas_weight,Case Management Assessment and Response Codes,Assessment Weight,smallint
dbo,cmc_cmas_assess,cmas_last_upd_dtm,Case Management Assessment and Response Codes,Assessment Update Date,datetime
dbo,cmc_cmas_assess,cmas_last_upd_usid,Case Management Assessment and Response Codes,Assessment/Evaluation Update User ID,char
dbo,cmc_cmas_assess,cmas_lock_token,Case Management Assessment and Response Codes,Lock Token,smallint
dbo,cmc_cmas_assess,atxr_source_id,Case Management Assessment and Response Codes,Attachment Source Id,datetime
dbo,cmc_cmca_cp_data,cmcm_id,Care Plan Plus - Data Specifics  Formatted,Case Management ID,char
dbo,cmc_cmca_cp_data,cmci_seq_no,Care Plan Plus - Data Specifics  Formatted,Sequence Number - Care Plan Plus Item,smallint
dbo,cmc_cmca_cp_data,cmcd_seq_no,Care Plan Plus - Data Specifics  Formatted, Detail Sequence Number - Care Plan Plus Item,smallint
dbo,cmc_cmca_cp_data,cmca_seq_no,Care Plan Plus - Data Specifics  Formatted,Data Sequence Number - Care Plan Plus Item,smallint
dbo,cmc_cmca_cp_data,meme_ck,Care Plan Plus - Data Specifics  Formatted,Member Contrived Key,int
dbo,cmc_cmca_cp_data,pzap_app_id_cmca,Care Plan Plus - Data Specifics  Formatted,Application ID MCPD - Care Plan Item,char
dbo,cmc_cmca_cp_data,mcpd_source_cmca,Care Plan Plus - Data Specifics  Formatted,Source Identifier - MCPD Care Plan Plus,char
dbo,cmc_cmca_cp_data,mcpd_column_cmca,Care Plan Plus - Data Specifics  Formatted,Column Identifier MCPD - Care Plan Plus,varchar
dbo,cmc_cmca_cp_data,cmca_text,Care Plan Plus - Data Specifics  Formatted,Free Form Comments - Care Plan Plus Details,varchar
dbo,cmc_cmca_cp_data,cmca_last_upd_dtm,Care Plan Plus - Data Specifics  Formatted,Last Update Date and Time,datetime
dbo,cmc_cmca_cp_data,cmca_last_upd_usid,Care Plan Plus - Data Specifics  Formatted,Last Updated By User ID,char
dbo,cmc_cmca_cp_data,cmca_lock_token,Care Plan Plus - Data Specifics  Formatted,Lock Token,smallint
dbo,cmc_cmca_cp_data,atxr_source_id,Care Plan Plus - Data Specifics  Formatted,Attachment Source Id,datetime
dbo,cmc_cmcb_care_base,cmcm_id,Care Plan Category,Case Management ID,char
dbo,cmc_cmcb_care_base,cmcb_mctr_type,Care Plan Category,Care Plan Category Type,char
dbo,cmc_cmcb_care_base,cmcb_pri_ind,Care Plan Category,Care Plan Primary Indictor,char
dbo,cmc_cmcb_care_base,cmcb_lock_token,Care Plan Category,Lock Token,smallint
dbo,cmc_cmcb_care_base,atxr_source_id,Care Plan Category,Attachment Source Id,datetime
dbo,cmc_cmcd_cp_detl,cmcm_id,Care Plan Plus Details,Case Management ID,char
