source_schema,source_table,source_column,table_description,column_description,column_data_type
dbo,pub_ccdc_carc_code,pubh_ccdc_row_id,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Row ID,numeric
dbo,pub_ccdc_carc_code,pubh_guid,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Globally Unique Identifier,char
dbo,pub_ccdc_carc_code,pubh_action_cd,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Data Pub Action Code,char
dbo,pub_ccdc_carc_code,pubh_lsn,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Log Sequence Number,varbinary
dbo,pub_ccdc_carc_code,pubh_seq_val,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Transaction Sequence,varbinary
dbo,pub_ccdc_carc_code,clcl_id,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Claim ID,char
dbo,pub_ccdc_carc_code,cddl_seq_no,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Line Sequence Number,smallint
dbo,pub_ccdc_carc_code,ccdc_seq_no,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,CARC Sequence Number,int
dbo,pub_ccdc_carc_code,ccdc_payer_resp_cd,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Payer Responsibility Sequence Number Code,char
dbo,pub_ccdc_carc_code,ccdc_payer_id,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Other Carrier Payer ID,varchar
dbo,pub_ccdc_carc_code,meme_ck,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Member Contrived Key,int
dbo,pub_ccdc_carc_code,ccdc_oc_reas_code,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Other Carrier Reason Code (CARC),char
dbo,pub_ccdc_carc_code,ccdc_oc_grp_cd,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Other Carrier Adjustment Group Code,char
dbo,pub_ccdc_carc_code,ccdc_dollars,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,CARC Dollars,money
dbo,pub_ccdc_carc_code,ccdc_units,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,CARC Units,money
dbo,pub_ccdc_carc_code,ccdc_lock_token,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Lock Token,smallint
dbo,pub_ccdc_carc_code,atxr_source_id,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Attachment Source Id,datetime
dbo,pub_ccdc_carc_code,sys_last_upd_dtm,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Last Update Datetime,datetime
dbo,pub_ccdc_carc_code,sys_usus_id,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Last Update User ID,varchar
dbo,pub_ccdc_carc_code,sys_dbuser_id,Dental Claim Line COB CARC (Claim Adjustment Reason Code) Table,Last Update DBMS User ID,varchar
