"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_accm_display","pdpd_id","Accumulator Display","Product ID","char"
"dbo","cmc_accm_display","accm_type","Accumulator Display","Accumulator Type","char"
"dbo","cmc_accm_display","accm_eff_dt","Accumulator Display","Effective Date","datetime"
"dbo","cmc_accm_display","accm_seq_no","Accumulator Display","Accumulator Sequence Number","smallint"
"dbo","cmc_accm_display","accm_term_dt","Accumulator Display","Termination Date","datetime"
"dbo","cmc_accm_display","acac_acc_no","Accumulator Display","Accumulator Number","smallint"
"dbo","cmc_accm_display","accm_desc","Accumulator Display","Accumulator Description","varchar"
"dbo","cmc_accm_display","accm_pfx","Accumulator Display","Accumulator Prefix","char"
"dbo","cmc_accm_display","accm_lock_token","Accumulator Display","Lock Token","smallint"
"dbo","cmc_accm_display","atxr_source_id","Accumulator Display","Attachment Source Id","datetime"
