"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_acin_int_rates","pdbc_pfx","Accounting / Claim Interest Rates","Claim Interest Rates Benefit Component Prefix","char"
"dbo","cmc_acin_int_rates","acin_state","Accounting / Claim Interest Rates","Claim Interest Rates State","char"
"dbo","cmc_acin_int_rates","acin_type","Accounting / Claim Interest Rates","Claim Interest Rates Type","char"
"dbo","cmc_acin_int_rates","acin_input_meth","Accounting / Claim Interest Rates","Claim Interest Rates Input Method","char"
"dbo","cmc_acin_int_rates","acin_int_ntwk_ind","Accounting / Claim Interest Rates","Claim Interest Rates Network Indicator","char"
"dbo","cmc_acin_int_rates","acin_optout_ind","Accounting / Claim Interest Rates","Claim Interest Rates Optout Indicator","char"
"dbo","cmc_acin_int_rates","acin_eff_dt","Accounting / Claim Interest Rates","Claim Interest Rates Effective Date","datetime"
"dbo","cmc_acin_int_rates","acin_term_dt","Accounting / Claim Interest Rates","Claim Interest Rates Termination Date","datetime"
"dbo","cmc_acin_int_rates","acin_int_pct","Accounting / Claim Interest Rates","Claim Interest Rates Interest Percentage 1","int"
"dbo","cmc_acin_int_rates","acin_int_pct2","Accounting / Claim Interest Rates","Claim Interest Rates Interest Percentage 2","int"
"dbo","cmc_acin_int_rates","acin_int_pct3","Accounting / Claim Interest Rates","Claim Interest Rates Interest Percentage 3","int"
"dbo","cmc_acin_int_rates","acin_int_pct4","Accounting / Claim Interest Rates","Claim Interest Rates Interest Percentage 4","int"
"dbo","cmc_acin_int_rates","acin_calc_ind","Accounting / Claim Interest Rates","Claim Interest Rates Calculation Indicator","char"
"dbo","cmc_acin_int_rates","acin_int_adj_ind","Accounting / Claim Interest Rates","Claim Interest Rates Interest Adjustment Indicator","char"
"dbo","cmc_acin_int_rates","acin_int_warn_days","Accounting / Claim Interest Rates","Claim Interest Warning Message Days","smallint"
"dbo","cmc_acin_int_rates","acin_int_calc_days","Accounting / Claim Interest Rates","Claim Interest Period 1 Calculation Days","smallint"
"dbo","cmc_acin_int_rates","acin_int_calc_day2","Accounting / Claim Interest Rates","Claim Interest Period 2 Calculation Days","smallint"
"dbo","cmc_acin_int_rates","acin_int_calc_day3","Accounting / Claim Interest Rates","Claim Interest Period 3 Calculation Days","smallint"
"dbo","cmc_acin_int_rates","acin_int_calc_day4","Accounting / Claim Interest Rates","Claim Interest Period 4 Calculation Days","smallint"
"dbo","cmc_acin_int_rates","acin_min_amt","Accounting / Claim Interest Rates","Claim Interest Rates Minimum Amount","money"
"dbo","cmc_acin_int_rates","acin_net_adj_ind","Accounting / Claim Interest Rates","Interest on Net of Adjustments Indicator","char"
"dbo","cmc_acin_int_rates","acin_int_payee_ind","Accounting / Claim Interest Rates","Claim Interest Rates Payee Indicator","char"
"dbo","cmc_acin_int_rates","acin_er_min_days1","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 1 Calculation Days","smallint"
"dbo","cmc_acin_int_rates","acin_er_min_days2","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 2 Calculation Days","smallint"
"dbo","cmc_acin_int_rates","acin_er_min_days3","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 3 Calculation Days","smallint"
"dbo","cmc_acin_int_rates","acin_er_min_days4","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 4 Calculation Days","smallint"
"dbo","cmc_acin_int_rates","acin_er_min_days5","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 5 Calculation Days","smallint"
"dbo","cmc_acin_int_rates","acin_er_min_amt1","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 1 Minimum Threshold","money"
"dbo","cmc_acin_int_rates","acin_er_min_amt2","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 2 Minimum Threshold","money"
"dbo","cmc_acin_int_rates","acin_er_min_amt3","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 3 Minimum Threshold","money"
"dbo","cmc_acin_int_rates","acin_er_min_amt4","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 4 Minimum Threshold","money"
"dbo","cmc_acin_int_rates","acin_er_min_amt5","Accounting / Claim Interest Rates","Claim Interest Rates Emergency Period 5 Minimum Threshold","money"
"dbo","cmc_acin_int_rates","acin_lock_token","Accounting / Claim Interest Rates","Lock Token","smallint"
"dbo","cmc_acin_int_rates","atxr_source_id","Accounting / Claim Interest Rates","Attachment Source Id","datetime"
"dbo","cmc_acin_int_rates","sys_last_upd_dtm","Accounting / Claim Interest Rates","Last Update Datetime","datetime"
"dbo","cmc_acin_int_rates","sys_usus_id","Accounting / Claim Interest Rates","Last Update User ID","varchar"
"dbo","cmc_acin_int_rates","sys_dbuser_id","Accounting / Claim Interest Rates","Last Update DBMS User ID","varchar"
"dbo","cmc_acin_int_rates","acin_int_cln_warn","Accounting / Claim Interest Rates","Interest Clean Date Warning Period","smallint"
