"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_acov_overpay","clcl_id","Vision Initial Claim Overpayments","Claim Identifier","char"
"dbo","cmc_acov_overpay","acov_payee_ind","Vision Initial Claim Overpayments","Overpayment Payee Indicator","char"
"dbo","cmc_acov_overpay","lobd_id","Vision Initial Claim Overpayments","Line of Business","char"
"dbo","cmc_acov_overpay","acvp_payee_pr_id","Vision Initial Claim Overpayments","Payee ID","char"
"dbo","cmc_acov_overpay","acov_create_dt","Vision Initial Claim Overpayments","Create Date","datetime"
"dbo","cmc_acov_overpay","acov_amt","Vision Initial Claim Overpayments","Overpayment Amount","money"
"dbo","cmc_acov_overpay","acov_auto_reduc","Vision Initial Claim Overpayments","Auto Recovery Indicator","char"
"dbo","cmc_acov_overpay","acpr_ref_id","Vision Initial Claim Overpayments","Overpayment Reference ID","char"
"dbo","cmc_acov_overpay","acov_sts","Vision Initial Claim Overpayments","Status","char"
"dbo","cmc_acov_overpay","acov_lock_token","Vision Initial Claim Overpayments","Lock Token","smallint"
"dbo","cmc_acov_overpay","atxr_source_id","Vision Initial Claim Overpayments","Attachment Source Id","datetime"
"dbo","cmc_acov_overpay","sys_last_upd_dtm","Vision Initial Claim Overpayments","Last Update Datetime","datetime"
"dbo","cmc_acov_overpay","sys_usus_id","Vision Initial Claim Overpayments","Last Update User ID","varchar"
"dbo","cmc_acov_overpay","sys_dbuser_id","Vision Initial Claim Overpayments","Last Update DBMS User ID","varchar"
