"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_acpr_pymt_red","acpr_ref_id","Payment Reduction Table","Payment Reduction Reference ID","char"
"dbo","cmc_acpr_pymt_red","acpr_sub_type","Payment Reduction Table","ACPR Sub-type","char"
"dbo","cmc_acpr_pymt_red","acpr_tx_yr","Payment Reduction Table","Tax Year","char"
"dbo","cmc_acpr_pymt_red","acpr_type","Payment Reduction Table","Reduction Type","char"
"dbo","cmc_acpr_pymt_red","acpr_create_dt","Payment Reduction Table","Create Date","datetime"
"dbo","cmc_acpr_pymt_red","lobd_id","Payment Reduction Table","Line Of Business","char"
"dbo","cmc_acpr_pymt_red","acpr_payee_pr_id","Payment Reduction Table","Payee Provider ID","char"
"dbo","cmc_acpr_pymt_red","acpr_payee_ck","Payment Reduction Table","Payee Contrived Key","int"
"dbo","cmc_acpr_pymt_red","acpr_payee_type","Payment Reduction Table","Payee Type","char"
"dbo","cmc_acpr_pymt_red","acpr_auto_reduc","Payment Reduction Table","Auto Payment Reduction Indicator","char"
"dbo","cmc_acpr_pymt_red","acpr_orig_amt","Payment Reduction Table","Reduction Original Amount","money"
"dbo","cmc_acpr_pymt_red","acpr_recov_amt","Payment Reduction Table","Recovered Amount","money"
"dbo","cmc_acpr_pymt_red","acpr_recd_amt","Payment Reduction Table","Received Amount","money"
"dbo","cmc_acpr_pymt_red","acpr_woff_amt","Payment Reduction Table","Written Off Amount","money"
"dbo","cmc_acpr_pymt_red","acpr_net_amt","Payment Reduction Table","Net Amount Remaining","money"
"dbo","cmc_acpr_pymt_red","acpr_sts","Payment Reduction Table","Status","char"
"dbo","cmc_acpr_pymt_red","excd_id","Payment Reduction Table","Explanation","char"
"dbo","cmc_acpr_pymt_red","usus_id","Payment Reduction Table","User Identifier","char"
"dbo","cmc_acpr_pymt_red","pdds_prem_ind","Payment Reduction Table","Premium type indicator","char"
"dbo","cmc_acpr_pymt_red","acpr_varchar_msg","Payment Reduction Table","ACPR Comments","varchar"
"dbo","cmc_acpr_pymt_red","acpr_ext_pymt_ind","Payment Reduction Table","External Payment Indicator","char"
"dbo","cmc_acpr_pymt_red","sbfs_plan_year_dt","Payment Reduction Table","Plan Year","datetime"
"dbo","cmc_acpr_pymt_red","acpr_lock_token","Payment Reduction Table","Lock Token","smallint"
"dbo","cmc_acpr_pymt_red","atxr_source_id","Payment Reduction Table","Attachment Source Id","datetime"
"dbo","cmc_acpr_pymt_red","acpr_ofst_beg_dt_nvl","Payment Reduction Table","Offset begin date.","datetime"
"dbo","cmc_acpr_pymt_red","acpr_ovpl_lag_days_nvl","Payment Reduction Table","Overpayment Offset Lag days.","smallint"
"dbo","cmc_acpr_pymt_red","acpr_max_date_nvl","Payment Reduction Table","Maximum Update Date.","datetime"
"dbo","cmc_acpr_pymt_red","tpsl_ent_id_nvl","Payment Reduction Table","Reinsurance Code","varchar"
