"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_agaa_alt_agree","agaa_pfx","Alternate Agreement table","Alternate Agreement Prefix","char"
"dbo","cmc_agaa_alt_agree","prpr_id","Alternate Agreement table","Provider ID","char"
"dbo","cmc_agaa_alt_agree","agaa_eff_dt","Alternate Agreement table","Effective Date","datetime"
"dbo","cmc_agaa_alt_agree","agaa_term_dt","Alternate Agreement table","Termination Date","datetime"
"dbo","cmc_agaa_alt_agree","agag_id","Alternate Agreement table","Alternate Agreement ID","char"
"dbo","cmc_agaa_alt_agree","agaa_lock_token","Alternate Agreement table","Lock Token","smallint"
"dbo","cmc_agaa_alt_agree","atxr_source_id","Alternate Agreement table","Attachment Source Id","datetime"
"dbo","cmc_agaa_alt_agree","sys_last_upd_dtm","Alternate Agreement table","Last Update Datetime","datetime"
"dbo","cmc_agaa_alt_agree","sys_usus_id","Alternate Agreement table","Last Update User ID","varchar"
"dbo","cmc_agaa_alt_agree","sys_dbuser_id","Alternate Agreement table","Last Update DBMS User ID","varchar"
