"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_agsl_stop_loss","agsl_pfx","Agreement Stop Loss Table","Provider Agreement Stoploss Prefix","char"
"dbo","cmc_agsl_stop_loss","agsl_pos_ind","Agreement Stop Loss Table","Provider Agreement Stoploss Place of service indicator","char"
"dbo","cmc_agsl_stop_loss","agsl_type","Agreement Stop Loss Table","Provider Agreement Stoploss Type","char"
"dbo","cmc_agsl_stop_loss","agsl_threshold","Agreement Stop Loss Table","Provider Agreement Stoploss Threshold","money"
"dbo","cmc_agsl_stop_loss","agsl_threshold_pct","Agreement Stop Loss Table","Provider Agreement Stoploss Threshold Percent","int"
"dbo","cmc_agsl_stop_loss","agsl_disc_pct","Agreement Stop Loss Table","Provider Agreement Stoploss Discount Percent","money"
"dbo","cmc_agsl_stop_loss","agsl_opts","Agreement Stop Loss Table","Provider Agreement Stoploss Options","char"
"dbo","cmc_agsl_stop_loss","excd_id","Agreement Stop Loss Table","Provider Agreement Stoploss Explanation Code","char"
"dbo","cmc_agsl_stop_loss","agsl_lock_token","Agreement Stop Loss Table","Lock Token","smallint"
"dbo","cmc_agsl_stop_loss","atxr_source_id","Agreement Stop Loss Table","Attachment Source Id","datetime"
