"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blas_agg_summ","blei_ck","Billing Aggregate Summary","Billing Entity Contrived Key","int"
"dbo","cmc_blas_agg_summ","blbl_due_dt","Billing Aggregate Summary","Due Date","datetime"
"dbo","cmc_blas_agg_summ","afcp_per_no","Billing Aggregate Summary","AFA contract period number","int"
"dbo","cmc_blas_agg_summ","blas_seq_no","Billing Aggregate Summary","Sequence number","int"
"dbo","cmc_blas_agg_summ","blas_ck","Billing Aggregate Summary","Contrived Key","int"
"dbo","cmc_blas_agg_summ","blas_invoice_dtm","Billing Aggregate Summary","Invoice date and time","datetime"
"dbo","cmc_blas_agg_summ","blas_billed_amt","Billing Aggregate Summary","Bill Amount","money"
"dbo","cmc_blas_agg_summ","afai_id","Billing Aggregate Summary","AFA ID","char"
"dbo","cmc_blas_agg_summ","cspi_id","Billing Aggregate Summary","Plan ID","char"
"dbo","cmc_blas_agg_summ","pdpd_id","Billing Aggregate Summary","Product ID","char"
"dbo","cmc_blas_agg_summ","blcn_id","Billing Aggregate Summary","Contract ID","char"
"dbo","cmc_blas_agg_summ","lobd_id","Billing Aggregate Summary","Line of Business ID","char"
"dbo","cmc_blas_agg_summ","blas_liab_lmt_sb","Billing Aggregate Summary","Subscriber liability limit","money"
"dbo","cmc_blas_agg_summ","blas_liab_lmt_dep","Billing Aggregate Summary","Dependent Liability Limit","money"
"dbo","cmc_blas_agg_summ","blas_lvs_sb","Billing Aggregate Summary","Subscriber lives","int"
"dbo","cmc_blas_agg_summ","blas_lvs_dep","Billing Aggregate Summary","Dependent lives","int"
"dbo","cmc_blas_agg_summ","blas_col_struct","Billing Aggregate Summary","Tier Column Structure","char"
"dbo","cmc_blas_agg_summ","blas_count_1","Billing Aggregate Summary","Tier Column One Count","smallint"
"dbo","cmc_blas_agg_summ","blas_count_2","Billing Aggregate Summary","Tier Column Two Count","smallint"
"dbo","cmc_blas_agg_summ","blas_count_3","Billing Aggregate Summary","Tier Column Three Count","smallint"
"dbo","cmc_blas_agg_summ","blas_count_4","Billing Aggregate Summary","Tier Column Four Count","smallint"
"dbo","cmc_blas_agg_summ","blas_count_5","Billing Aggregate Summary","Tier Column Five Count","smallint"
"dbo","cmc_blas_agg_summ","blas_count_6","Billing Aggregate Summary","Tier Column Six Count","smallint"
"dbo","cmc_blas_agg_summ","blas_agg_adj","Billing Aggregate Summary","Aggregate SL Adjustment","money"
"dbo","cmc_blas_agg_summ","blas_lock_token","Billing Aggregate Summary","Lock Token","smallint"
"dbo","cmc_blas_agg_summ","atxr_source_id","Billing Aggregate Summary","Attachment Source Id","datetime"
"dbo","cmc_blas_agg_summ","blct_ck","Billing Aggregate Summary","Billing component total contrived key","bigint"
