"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blco_comm_item","blei_ck","Relational Billing Commission Data","Billing Entity Contrived Key","int"
"dbo","cmc_blco_comm_item","cspi_id","Relational Billing Commission Data","Plan ID","char"
"dbo","cmc_blco_comm_item","pmfa_id","Relational Billing Commission Data","Fee ID","char"
"dbo","cmc_blco_comm_item","blco_seq_no","Relational Billing Commission Data","Row Sequence Number","smallint"
"dbo","cmc_blco_comm_item","coar_id","Relational Billing Commission Data","Arrangement ID","char"
"dbo","cmc_blco_comm_item","blco_eff_dt","Relational Billing Commission Data","Effective Date","datetime"
"dbo","cmc_blco_comm_item","blco_term_dt","Relational Billing Commission Data","Termination Date","datetime"
"dbo","cmc_blco_comm_item","blco_pct","Relational Billing Commission Data","Percent","int"
"dbo","cmc_blco_comm_item","blco_lock_token","Relational Billing Commission Data","Lock Token","smallint"
"dbo","cmc_blco_comm_item","atxr_source_id","Relational Billing Commission Data","Attachment Source Id","datetime"
"dbo","cmc_blco_comm_item","sys_last_upd_dtm","Relational Billing Commission Data","Last Update Datetime","datetime"
"dbo","cmc_blco_comm_item","sys_usus_id","Relational Billing Commission Data","Last Update User ID","varchar"
"dbo","cmc_blco_comm_item","sys_dbuser_id","Relational Billing Commission Data","Last Update DBMS User ID","varchar"
"dbo","cmc_blco_comm_item","blco_sbsdy_inc_ind_nvl","Relational Billing Commission Data","Include Subsidy Amount Indicator","char"
"dbo","cmc_blco_comm_item","blco_co_billed_ind_nvl","Relational Billing Commission Data","Pay Based on Billed Amount Indicator","char"
