"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blcr_cap_dtl","blei_ck","Billing Alternate Funded Capitation Detail","Billing Entity Contrived Key","int"
"dbo","cmc_blcr_cap_dtl","blcr_fndg_from_dt","Billing Alternate Funded Capitation Detail","Capitation Funding From Date","datetime"
"dbo","cmc_blcr_cap_dtl","blcr_seq_no","Billing Alternate Funded Capitation Detail","Capitation Funding Period Sequence Number","int"
"dbo","cmc_blcr_cap_dtl","blcr_fndg_thru_dt","Billing Alternate Funded Capitation Detail","Capitation Funding Period Through Date","datetime"
"dbo","cmc_blcr_cap_dtl","blcr_create_dt","Billing Alternate Funded Capitation Detail","Capitation Funding Period Create Date","datetime"
"dbo","cmc_blcr_cap_dtl","blcr_cr_paid_dt","Billing Alternate Funded Capitation Detail","Capitation Funding Period Paid Date","datetime"
"dbo","cmc_blcr_cap_dtl","meme_ck","Billing Alternate Funded Capitation Detail","Member Contrived Key","int"
"dbo","cmc_blcr_cap_dtl","blcr_earn_dt","Billing Alternate Funded Capitation Detail","Capitation Funding Period Earn Date","datetime"
"dbo","cmc_blcr_cap_dtl","crme_cr_pr_id","Billing Alternate Funded Capitation Detail","Provider ID","char"
"dbo","cmc_blcr_cap_dtl","blcr_crpr_name","Billing Alternate Funded Capitation Detail","Provider Name","char"
"dbo","cmc_blcr_cap_dtl","crpl_pool_id","Billing Alternate Funded Capitation Detail","Pool ID","char"
"dbo","cmc_blcr_cap_dtl","crfd_fund_id","Billing Alternate Funded Capitation Detail","Fund ID","char"
"dbo","cmc_blcr_cap_dtl","crme_fund_amt","Billing Alternate Funded Capitation Detail","Fund Amount","money"
"dbo","cmc_blcr_cap_dtl","crme_pymt_meth_ind","Billing Alternate Funded Capitation Detail","Payment Method Indicator","char"
"dbo","cmc_blcr_cap_dtl","prpr_id","Billing Alternate Funded Capitation Detail","Provider ID","char"
"dbo","cmc_blcr_cap_dtl","prpr_name","Billing Alternate Funded Capitation Detail","Provider Name","char"
"dbo","cmc_blcr_cap_dtl","cspi_id","Billing Alternate Funded Capitation Detail","Class Plan ID","char"
"dbo","cmc_blcr_cap_dtl","plds_desc","Billing Alternate Funded Capitation Detail","Plan Description","char"
"dbo","cmc_blcr_cap_dtl","pdpd_id","Billing Alternate Funded Capitation Detail","Product ID","char"
"dbo","cmc_blcr_cap_dtl","pdds_desc","Billing Alternate Funded Capitation Detail","Product Description","char"
"dbo","cmc_blcr_cap_dtl","lobd_id","Billing Alternate Funded Capitation Detail","Line of Business ID","char"
"dbo","cmc_blcr_cap_dtl","crfd_acct_cat","Billing Alternate Funded Capitation Detail","Accounting Category","char"
"dbo","cmc_blcr_cap_dtl","sbsb_ck","Billing Alternate Funded Capitation Detail","Subscriber Contrived Key","int"
"dbo","cmc_blcr_cap_dtl","sbem_occ_cd","Billing Alternate Funded Capitation Detail","Occupation Code","char"
"dbo","cmc_blcr_cap_dtl","sbem_dept","Billing Alternate Funded Capitation Detail","Subscriber Department","char"
"dbo","cmc_blcr_cap_dtl","sbem_loc","Billing Alternate Funded Capitation Detail","Subscriber Location","char"
"dbo","cmc_blcr_cap_dtl","sbem_type","Billing Alternate Funded Capitation Detail","Subscriber Type","char"
"dbo","cmc_blcr_cap_dtl","grgr_ck","Billing Alternate Funded Capitation Detail","Group Contrived Key","int"
"dbo","cmc_blcr_cap_dtl","sgsg_ck","Billing Alternate Funded Capitation Detail","Subgroup Contrived Key","int"
"dbo","cmc_blcr_cap_dtl","afcp_per_no","Billing Alternate Funded Capitation Detail","AFA contract period number","int"
"dbo","cmc_blcr_cap_dtl","afai_ck","Billing Alternate Funded Capitation Detail","AFA contrived key","int"
"dbo","cmc_blcr_cap_dtl","blcr_out_year_ind","Billing Alternate Funded Capitation Detail","Outside year indicator","char"
"dbo","cmc_blcr_cap_dtl","blcr_lock_token","Billing Alternate Funded Capitation Detail","Lock Token","smallint"
"dbo","cmc_blcr_cap_dtl","atxr_source_id","Billing Alternate Funded Capitation Detail","Attachment Source Id","datetime"
"dbo","cmc_blcr_cap_dtl","cspd_cat","Billing Alternate Funded Capitation Detail","Class Product Category","char"
"dbo","cmc_blcr_cap_dtl","crme_earn_from_dt","Billing Alternate Funded Capitation Detail","Earn From Date","datetime"
"dbo","cmc_blcr_cap_dtl","crme_seq_no","Billing Alternate Funded Capitation Detail","Sequence Number","smallint"
