"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blcs_cont_stot","blei_ck","Billing Contract Sub-Total Table","Billing Entity Contrived Key","int"
"dbo","cmc_blcs_cont_stot","blbl_due_dt","Billing Contract Sub-Total Table","Bill Due Date","datetime"
"dbo","cmc_blcs_cont_stot","blcn_id","Billing Contract Sub-Total Table","Billing Contract ID","char"
"dbo","cmc_blcs_cont_stot","blcs_billed_amt","Billing Contract Sub-Total Table","Billed Amount","money"
"dbo","cmc_blcs_cont_stot","blcs_rcvd_amt","Billing Contract Sub-Total Table","Received Amount","money"
"dbo","cmc_blcs_cont_stot","blcs_paid_sts","Billing Contract Sub-Total Table","Payment Status","char"
"dbo","cmc_blcs_cont_stot","blcs_co_bat_sts","Billing Contract Sub-Total Table","Commission Batch Status","smallint"
"dbo","cmc_blcs_cont_stot","blcs_lock_token","Billing Contract Sub-Total Table","Lock Token","smallint"
"dbo","cmc_blcs_cont_stot","blcs_paid_dt_nvl","Billing Contract Sub-Total Table","Payment Status Date","datetime"
"dbo","cmc_blcs_cont_stot","blcs_co_pbl_sts_nvl","Billing Contract Sub-Total Table","Commission Pay Based on Billed Status","smallint"
"dbo","cmc_blcs_cont_stot","blcs_rcvd_dt_nvl","Billing Contract Sub-Total Table","Payment Received Date.","datetime"
