"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blrh_red_hist","meme_ck","Billing Reduction History","Member Contrived Key","int"
"dbo","cmc_blrh_red_hist","blei_ck","Billing Reduction History","Billing Entity Contrived Key","int"
"dbo","cmc_blrh_red_hist","afcp_per_no","Billing Reduction History","AFA contract period number","int"
"dbo","cmc_blrh_red_hist","blrh_fndg_from_dt","Billing Reduction History","Funding from date","datetime"
"dbo","cmc_blrh_red_hist","blrh_seq_no","Billing Reduction History","Sequence Number","int"
"dbo","cmc_blrh_red_hist","blrh_fndg_thru_dt","Billing Reduction History","Funding through date","datetime"
"dbo","cmc_blrh_red_hist","blrh_source","Billing Reduction History","Source","char"
"dbo","cmc_blrh_red_hist","lobd_id","Billing Reduction History","Line of Business ID","char"
"dbo","cmc_blrh_red_hist","grgr_ck","Billing Reduction History","Group Contrived Key","int"
"dbo","cmc_blrh_red_hist","sgsg_ck","Billing Reduction History","Subgroup Contrived Key","int"
"dbo","cmc_blrh_red_hist","cspi_id","Billing Reduction History","Plan ID","char"
"dbo","cmc_blrh_red_hist","pdpd_id","Billing Reduction History","Product ID","char"
"dbo","cmc_blrh_red_hist","acrh_event_type","Billing Reduction History","Recovery Event Type","char"
"dbo","cmc_blrh_red_hist","acpr_ref_id","Billing Reduction History","Recovery Reference ID","char"
"dbo","cmc_blrh_red_hist","acrh_seq_no","Billing Reduction History","Recovery Sequence Number","int"
"dbo","cmc_blrh_red_hist","acrh_create_dt","Billing Reduction History","Create Date","datetime"
"dbo","cmc_blrh_red_hist","acrh_amt","Billing Reduction History","Recovery amount","money"
"dbo","cmc_blrh_red_hist","blrh_orig_clcl_id","Billing Reduction History","Original claim ID","char"
"dbo","cmc_blrh_red_hist","blrh_ssl_amt","Billing Reduction History","Stop Loss Amount","money"
"dbo","cmc_blrh_red_hist","blrh_ssl_exc_amt","Billing Reduction History","Excess of stop loss amount","money"
"dbo","cmc_blrh_red_hist","blrh_aso_amt","Billing Reduction History","ASO amount","money"
"dbo","cmc_blrh_red_hist","blrh_hsa_amt","Billing Reduction History","HRA amount","money"
"dbo","cmc_blrh_red_hist","blrh_lock_token","Billing Reduction History","Lock Token","smallint"
"dbo","cmc_blrh_red_hist","atxr_source_id","Billing Reduction History","Attachment Source Id","datetime"
