"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_blrs_recon_sb","blrm_orig_bliv_id","Premium Reconciliation Subscriber Summary","Original Invoice ID","varchar"
"dbo","cmc_blrs_recon_sb","blei_ck","Premium Reconciliation Subscriber Summary","Billing entity contrived key","int"
"dbo","cmc_blrs_recon_sb","blbl_due_dt","Premium Reconciliation Subscriber Summary","Due date","datetime"
"dbo","cmc_blrs_recon_sb","sbsb_ck","Premium Reconciliation Subscriber Summary","Subscriber contrived key","int"
"dbo","cmc_blrs_recon_sb","meme_ck","Premium Reconciliation Subscriber Summary","Member Contrived Key","int"
"dbo","cmc_blrs_recon_sb","cspd_cat","Premium Reconciliation Subscriber Summary","Category","char"
"dbo","cmc_blrs_recon_sb","cspi_id","Premium Reconciliation Subscriber Summary","Plan ID","char"
"dbo","cmc_blrs_recon_sb","pdpd_id","Premium Reconciliation Subscriber Summary","Product ID","char"
"dbo","cmc_blrs_recon_sb","blrs_cov_due_dt","Premium Reconciliation Subscriber Summary","Coverage Due Date","datetime"
"dbo","cmc_blrs_recon_sb","blrs_ck","Premium Reconciliation Subscriber Summary","Contrived key for the row","int"
"dbo","cmc_blrs_recon_sb","blrs_amt","Premium Reconciliation Subscriber Summary","Amount","money"
"dbo","cmc_blrs_recon_sb","blrs_cur_action","Premium Reconciliation Subscriber Summary","Action","char"
"dbo","cmc_blrs_recon_sb","blrs_last_usus_id","Premium Reconciliation Subscriber Summary","User ID","char"
"dbo","cmc_blrs_recon_sb","blrs_lock_token","Premium Reconciliation Subscriber Summary","Lock Token","smallint"
"dbo","cmc_blrs_recon_sb","atxr_source_id","Premium Reconciliation Subscriber Summary","Attachment Source Id","datetime"
