"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpcl_clm","ckpy_ref_id","Print Table Claim Level Data","Payment Reference ID","char"
"dbo","cmc_bpcl_clm","clcl_id","Print Table Claim Level Data","Claim Identifier","char"
"dbo","cmc_bpcl_clm","cici_id","Print Table Claim Level Data","Client ID","char"
"dbo","cmc_bpcl_clm","clcl_paid_dt","Print Table Claim Level Data","Claim Paid Date","datetime"
"dbo","cmc_bpcl_clm","clcl_pa_acct_no","Print Table Claim Level Data","Claim Patient Account Number","varchar"
"dbo","cmc_bpcl_clm","clcl_pre_price_ind","Print Table Claim Level Data","Claim Pre Priced Indicator","char"
"dbo","cmc_bpcl_clm","clcl_input_dt","Print Table Claim Level Data","Claim Input Date","datetime"
"dbo","cmc_bpcl_clm","clcl_recd_dt","Print Table Claim Level Data","Claim Received Date","datetime"
"dbo","cmc_bpcl_clm","clcl_id_adj_from","Print Table Claim Level Data","Adjust From Claim","varchar"
"dbo","cmc_bpcl_clm","clcl_id_crte_from","Print Table Claim Level Data","Create From","varchar"
"dbo","cmc_bpcl_clm","clcl_acd_ind","Print Table Claim Level Data","Claim Accident Indicator","char"
"dbo","cmc_bpcl_clm","clcl_acd_dt","Print Table Claim Level Data","Claim Accident Date","datetime"
"dbo","cmc_bpcl_clm","clcl_ntwk_ind","Print Table Claim Level Data","Network Indicator","char"
"dbo","cmc_bpcl_clm","clcl_pa_paid_amt","Print Table Claim Level Data","Patient Paid Amount","money"
"dbo","cmc_bpcl_clm","clcl_ce_ind","Print Table Claim Level Data","Clinical Edit Indicator","char"
"dbo","cmc_bpcl_clm","clcl_cl_type","Print Table Claim Level Data","Claim Type","char"
"dbo","cmc_bpcl_clm","clcl_cl_sub_type","Print Table Claim Level Data","Claim Sub Type","char"
"dbo","cmc_bpcl_clm","clcl_cap_ind","Print Table Claim Level Data","Claim Level Capitation Indicator","char"
"dbo","cmc_bpcl_clm","clcl_atxr_src_id","Print Table Claim Level Data","Attachment Source ID","datetime"
"dbo","cmc_bpcl_clm","clcl_micro_id","Print Table Claim Level Data","Microfilm ID","varchar"
"dbo","cmc_bpcl_clm","clcl_mecd_resub_no","Print Table Claim Level Data","Medicaid Resubmission Number","varchar"
"dbo","cmc_bpcl_clm","clcl_pap_eob_ind","Print Table Claim Level Data","835 Paper EOB Indicator","char"
"dbo","cmc_bpcl_clm","pdds_prod_type","Print Table Claim Level Data","Product Type","char"
"dbo","cmc_bpcl_clm","cspi_id","Print Table Claim Level Data","Class Plan ID","char"
"dbo","cmc_bpcl_clm","cscs_id","Print Table Claim Level Data","Class ID","char"
"dbo","cmc_bpcl_clm","plds_desc","Print Table Claim Level Data","Plan Description","varchar"
"dbo","cmc_bpcl_clm","nwnw_id","Print Table Claim Level Data","Network ID","varchar"
"dbo","cmc_bpcl_clm","nwnw_name","Print Table Claim Level Data","Network Name","varchar"
"dbo","cmc_bpcl_clm","pagr_id","Print Table Claim Level Data","Parent Group ID","char"
"dbo","cmc_bpcl_clm","pagr_name","Print Table Claim Level Data","Parent Group Name","varchar"
"dbo","cmc_bpcl_clm","grgr_ck","Print Table Claim Level Data","Group Contrived Key","int"
"dbo","cmc_bpcl_clm","grgr_id","Print Table Claim Level Data","Group ID","char"
"dbo","cmc_bpcl_clm","grgr_name","Print Table Claim Level Data","Group Name","varchar"
"dbo","cmc_bpcl_clm","grgr_mctr_type","Print Table Claim Level Data","Group Type","char"
"dbo","cmc_bpcl_clm","sgsg_ck","Print Table Claim Level Data","Subgroup Contrived Key","int"
"dbo","cmc_bpcl_clm","sgsg_id","Print Table Claim Level Data","SubGroup ID","char"
"dbo","cmc_bpcl_clm","sgsg_name","Print Table Claim Level Data","Sub Group Name","varchar"
"dbo","cmc_bpcl_clm","sbsb_ck","Print Table Claim Level Data","Subscriber Contrived Key","int"
"dbo","cmc_bpcl_clm","sbsb_id","Print Table Claim Level Data","Subscriber ID","char"
"dbo","cmc_bpcl_clm","sbsb_last_name","Print Table Claim Level Data","Subscriber Last Name","varchar"
"dbo","cmc_bpcl_clm","sbsb_first_name","Print Table Claim Level Data","Subscriber First Name","varchar"
"dbo","cmc_bpcl_clm","sbsb_mid_init","Print Table Claim Level Data","Subscriber Middle Initial","char"
"dbo","cmc_bpcl_clm","sbsb_title","Print Table Claim Level Data","Subscriber Title","varchar"
"dbo","cmc_bpcl_clm","sbsb_employ_id","Print Table Claim Level Data","Subscriber Employee ID","char"
"dbo","cmc_bpcl_clm","sbem_loc","Print Table Claim Level Data","Subscriber Employee Location","char"
"dbo","cmc_bpcl_clm","sbem_type","Print Table Claim Level Data","Subscriber Employee Type","char"
"dbo","cmc_bpcl_clm","sbem_dept","Print Table Claim Level Data","Subscriber Employee Department","char"
"dbo","cmc_bpcl_clm","sbem_occ_cd","Print Table Claim Level Data","Subscriber Employee Occupation Code","char"
"dbo","cmc_bpcl_clm","meme_ck","Print Table Claim Level Data","Member Contrived Key","int"
"dbo","cmc_bpcl_clm","meme_sfx","Print Table Claim Level Data","The Member Suffix","smallint"
"dbo","cmc_bpcl_clm","meme_last_name","Print Table Claim Level Data","Member's Last Name","varchar"
"dbo","cmc_bpcl_clm","meme_first_name","Print Table Claim Level Data","Member's First Name","varchar"
"dbo","cmc_bpcl_clm","meme_mid_init","Print Table Claim Level Data","Member's Middle Initial","char"
"dbo","cmc_bpcl_clm","meme_sex","Print Table Claim Level Data","Member Sex","char"
"dbo","cmc_bpcl_clm","meme_title","Print Table Claim Level Data","Member's Title","varchar"
"dbo","cmc_bpcl_clm","meme_ssn","Print Table Claim Level Data","Member's Social Security Number","char"
"dbo","cmc_bpcl_clm","meme_rel","Print Table Claim Level Data","Member's Relation to Subscriber","char"
