"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpcs_cap_sum","syin_inst","Capitation Payment Summary Batch Print table","Syin Instance","bigint"
"dbo","cmc_bpcs_cap_sum","bpid_stock_id","Capitation Payment Summary Batch Print table","Form Stock ID","char"
"dbo","cmc_bpcs_cap_sum","bpid_seq_no","Capitation Payment Summary Batch Print table","BPID sequence number","int"
"dbo","cmc_bpcs_cap_sum","ckpy_ref_id","Capitation Payment Summary Batch Print table","Payment Reference ID","char"
"dbo","cmc_bpcs_cap_sum","bpcs_curr_amt","Capitation Payment Summary Batch Print table","Current Payment Amount","money"
"dbo","cmc_bpcs_cap_sum","bpcs_retro_adj_amt","Capitation Payment Summary Batch Print table","Retroactive Adjustment Amount","money"
"dbo","cmc_bpcs_cap_sum","bpcs_man_adj_amt","Capitation Payment Summary Batch Print table","Manual Adjustment Amount","money"
"dbo","cmc_bpcs_cap_sum","bpcs_clm_red_amt","Capitation Payment Summary Batch Print table","Reduction Amount","money"
"dbo","cmc_bpcs_cap_sum","bpcs_lock_token","Capitation Payment Summary Batch Print table","Lock Token","smallint"
"dbo","cmc_bpcs_cap_sum","atxr_source_id","Capitation Payment Summary Batch Print table","Attachment Source Id","datetime"
"dbo","cmc_bpcs_cap_sum","sys_last_upd_dtm","Capitation Payment Summary Batch Print table","Last Update Datetime","datetime"
"dbo","cmc_bpcs_cap_sum","sys_usus_id","Capitation Payment Summary Batch Print table","Last Update User ID","varchar"
"dbo","cmc_bpcs_cap_sum","sys_dbuser_id","Capitation Payment Summary Batch Print table","Last Update DBMS User ID","varchar"
