"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpdd_pymt_dtl","ckpy_ref_id","Disability Payment Detail","Payment Reference ID","char"
"dbo","cmc_bpdd_pymt_dtl","dicl_id","Disability Payment Detail","Disability Claim ID","char"
"dbo","cmc_bpdd_pymt_dtl","didp_seq_no","Disability Payment Detail","Sequence Number","smallint"
"dbo","cmc_bpdd_pymt_dtl","didp_adj_no","Disability Payment Detail","Adjustment Number","smallint"
"dbo","cmc_bpdd_pymt_dtl","dimc_seq_no","Disability Payment Detail","Disability Claim Header Sequence Number","smallint"
"dbo","cmc_bpdd_pymt_dtl","dipy_tier_seq_no","Disability Payment Detail","Tier Sequence Number","smallint"
"dbo","cmc_bpdd_pymt_dtl","didp_pay_from_dt","Disability Payment Detail","Pay period from date","datetime"
"dbo","cmc_bpdd_pymt_dtl","didp_pay_to_dt","Disability Payment Detail","Pay period to date","datetime"
"dbo","cmc_bpdd_pymt_dtl","didp_ben_calc1","Disability Payment Detail","Amount calculated tier 1","money"
"dbo","cmc_bpdd_pymt_dtl","didp_ben_calc2","Disability Payment Detail","Amount calculated tier 2","money"
"dbo","cmc_bpdd_pymt_dtl","didp_paid_amt","Disability Payment Detail","Net payment amount","money"
"dbo","cmc_bpdd_pymt_dtl","didp_ben_days","Disability Payment Detail","Number Benefit days","smallint"
"dbo","cmc_bpdd_pymt_dtl","didp_excd_id","Disability Payment Detail","explanation code","char"
"dbo","cmc_bpdd_pymt_dtl","bpdd_didp_text1","Disability Payment Detail","Payment Explanation Code Text1","varchar"
"dbo","cmc_bpdd_pymt_dtl","bpdd_didp_text2","Disability Payment Detail","Payment Explantion Code Text 2","varchar"
"dbo","cmc_bpdd_pymt_dtl","bpdd_ben_ovr1_amt","Disability Payment Detail","Tier 1 benefit override amount","money"
"dbo","cmc_bpdd_pymt_dtl","bpdd_ovr1_excd_id","Disability Payment Detail","Tier 1 benefit override amount explanation code","char"
"dbo","cmc_bpdd_pymt_dtl","bpdd_ovr1_text1","Disability Payment Detail","Tier 1 benefit override amount explanation code text line 1","varchar"
"dbo","cmc_bpdd_pymt_dtl","bpdd_ovr1_text2","Disability Payment Detail","Tier 1 benefit override amount explanation code text line 2","varchar"
"dbo","cmc_bpdd_pymt_dtl","bpdd_ben_ovr2_amt","Disability Payment Detail","Tier 2 benefit override amount","money"
"dbo","cmc_bpdd_pymt_dtl","bpdd_ovr2_excd_id","Disability Payment Detail","Tier 2 benefit override amount explanation code","char"
"dbo","cmc_bpdd_pymt_dtl","bpdd_ovr2_text1","Disability Payment Detail","Tier 2 benefit override amount explanation code text line 1","varchar"
"dbo","cmc_bpdd_pymt_dtl","bpdd_ovr2_text2","Disability Payment Detail","Tier 2 benefit override amount explanation code 2","varchar"
"dbo","cmc_bpdd_pymt_dtl","didp_ss_amt","Disability Payment Detail","FICA Social Security amount","money"
"dbo","cmc_bpdd_pymt_dtl","didp_med_amt","Disability Payment Detail","FICA Medicare Amount","money"
"dbo","cmc_bpdd_pymt_dtl","bpdd_fica_excd_id","Disability Payment Detail","FiICA EXCD ID","char"
"dbo","cmc_bpdd_pymt_dtl","bpdd_fica_ex_text1","Disability Payment Detail","FICA explanation code text line 1","varchar"
"dbo","cmc_bpdd_pymt_dtl","bpdd_fica_ex_text2","Disability Payment Detail","FICA explanation code text line 2","varchar"
"dbo","cmc_bpdd_pymt_dtl","didp_ofst_amt","Disability Payment Detail","Offset amounts","money"
"dbo","cmc_bpdd_pymt_dtl","didp_ded_amt","Disability Payment Detail","Deduction amounts","money"
"dbo","cmc_bpdd_pymt_dtl","didp_fit_amt","Disability Payment Detail","Federal Income Tax withheld","money"
"dbo","cmc_bpdd_pymt_dtl","didp_dipy_excd_id","Disability Payment Detail","Explanation code","char"
"dbo","cmc_bpdd_pymt_dtl","didp_dipy_ex_text1","Disability Payment Detail","Explanation code text line 1","varchar"
"dbo","cmc_bpdd_pymt_dtl","didp_dipy_ex_text2","Disability Payment Detail","Explanation code text line 2","varchar"
"dbo","cmc_bpdd_pymt_dtl","bpdd_lock_token","Disability Payment Detail","Lock Token","smallint"
"dbo","cmc_bpdd_pymt_dtl","atxr_source_id","Disability Payment Detail","Attachment Source Id","datetime"
"dbo","cmc_bpdd_pymt_dtl","sys_last_upd_dtm","Disability Payment Detail","Last Update Datetime","datetime"
"dbo","cmc_bpdd_pymt_dtl","sys_usus_id","Disability Payment Detail","Last Update User ID","varchar"
"dbo","cmc_bpdd_pymt_dtl","sys_dbuser_id","Disability Payment Detail","Last Update DBMS User ID","varchar"
