"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpdi_int_det","ckpy_ref_id","Batch Print Claims Interest Calculation Details","Check Payment Reference ID","char"
"dbo","cmc_bpdi_int_det","clcl_id","Batch Print Claims Interest Calculation Details","Claim Identifier","char"
"dbo","cmc_bpdi_int_det","clck_payee_ind","Batch Print Claims Interest Calculation Details","Payee indicator","char"
"dbo","cmc_bpdi_int_det","lobd_id","Batch Print Claims Interest Calculation Details","Line of Business ID","char"
"dbo","cmc_bpdi_int_det","acdi_int_tier_no","Batch Print Claims Interest Calculation Details","Interest Tier","smallint"
"dbo","cmc_bpdi_int_det","acdi_cont_days","Batch Print Claims Interest Calculation Details","Number of contested days","smallint"
"dbo","cmc_bpdi_int_det","excd_id","Batch Print Claims Interest Calculation Details","Contested days override explanation code","char"
"dbo","cmc_bpdi_int_det","excd_long_text1","Batch Print Claims Interest Calculation Details","Explanation code text 1","varchar"
"dbo","cmc_bpdi_int_det","excd_long_text2","Batch Print Claims Interest Calculation Details","Explanation code text 2","varchar"
"dbo","cmc_bpdi_int_det","pdds_mctr_bcat","Batch Print Claims Interest Calculation Details","Product Business Category","char"
"dbo","cmc_bpdi_int_det","acdi_int_begin_dt","Batch Print Claims Interest Calculation Details","Interest Calculation Begin Date","datetime"
"dbo","cmc_bpdi_int_det","acdi_int_days_calc","Batch Print Claims Interest Calculation Details","Interest Calculation Days","smallint"
"dbo","cmc_bpdi_int_det","acdi_daily_rate","Batch Print Claims Interest Calculation Details","Computed daily interest percentage","int"
"dbo","cmc_bpdi_int_det","acdi_int_calc_amt","Batch Print Claims Interest Calculation Details","Calculated interest payable amount","money"
"dbo","cmc_bpdi_int_det","bpdi_lock_token","Batch Print Claims Interest Calculation Details","Lock Token","smallint"
"dbo","cmc_bpdi_int_det","atxr_source_id","Batch Print Claims Interest Calculation Details","Attachment Source Id","datetime"
