"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bphp_indic","syin_inst","HIPAA Payment Indicative Data","System Instance","bigint"
"dbo","cmc_bphp_indic","bpid_stock_id","HIPAA Payment Indicative Data","Stock ID","char"
"dbo","cmc_bphp_indic","bpid_seq_no","HIPAA Payment Indicative Data","Sequence number","int"
"dbo","cmc_bphp_indic","ckpy_ref_id","HIPAA Payment Indicative Data","Reference ID","char"
"dbo","cmc_bphp_indic","clcl_id","HIPAA Payment Indicative Data","Claim Identifier","char"
"dbo","cmc_bphp_indic","bphp_payee_ed_id","HIPAA Payment Indicative Data","Payee's electronic destination ID","char"
"dbo","cmc_bphp_indic","bphp_payee_ed_qual","HIPAA Payment Indicative Data","Payee's electronic destination qualifier","char"
"dbo","cmc_bphp_indic","bphp_pyee_bank_ed","HIPAA Payment Indicative Data","Electronic destination ID for payee's bank","char"
"dbo","cmc_bphp_indic","bphp_pyee_bank_edq","HIPAA Payment Indicative Data","Electronic destination qualifier for payee's bank","char"
"dbo","cmc_bphp_indic","mcbd_dfi_id_qual","HIPAA Payment Indicative Data","DFI ID number qualifier","char"
"dbo","cmc_bphp_indic","mcbr_acct_no_qual","HIPAA Payment Indicative Data","Account number qualifier","char"
"dbo","cmc_bphp_indic","prpr_cl_eft_ind","HIPAA Payment Indicative Data","Claim electronic remittance indicator","char"
"dbo","cmc_bphp_indic","prpr_cap_eft_ind","HIPAA Payment Indicative Data","Capitation electronic remittance indicator","char"
"dbo","cmc_bphp_indic","prpr_ra_dest_ind","HIPAA Payment Indicative Data","Remittance advice indicator","char"
"dbo","cmc_bphp_indic","prpr_clrnghouse_id","HIPAA Payment Indicative Data","Clearinghouse ID","varchar"
"dbo","cmc_bphp_indic","pypy_ed_id","HIPAA Payment Indicative Data","Electronic destination ID","char"
"dbo","cmc_bphp_indic","pypy_ed_qual","HIPAA Payment Indicative Data","Electronic destination qualifier","char"
"dbo","cmc_bphp_indic","pypy_edi_835_ind","HIPAA Payment Indicative Data","EDI indicator","char"
"dbo","cmc_bphp_indic","pypy_835_pay_meth","HIPAA Payment Indicative Data","Payment method","char"
"dbo","cmc_bphp_indic","pypy_835_ach_fmt","HIPAA Payment Indicative Data","Payment format code","char"
"dbo","cmc_bphp_indic","pypy_dfi_id_qual","HIPAA Payment Indicative Data","DFI ID number qualifier","char"
"dbo","cmc_bphp_indic","pypy_tax_id","HIPAA Payment Indicative Data","Payor tax ID","char"
"dbo","cmc_bphp_indic","pypy_phone","HIPAA Payment Indicative Data","Payor phone","char"
"dbo","cmc_bphp_indic","pypy_phone_ext","HIPAA Payment Indicative Data","Payor phone extension","char"
"dbo","cmc_bphp_indic","pypy_fax","HIPAA Payment Indicative Data","Payor fax number","char"
"dbo","cmc_bphp_indic","pypy_fax_ext","HIPAA Payment Indicative Data","Payor fax number extension","char"
"dbo","cmc_bphp_indic","syin_ref_id","HIPAA Payment Indicative Data","System instance reference ID","char"
"dbo","cmc_bphp_indic","pypy_natl_plan_id","HIPAA Payment Indicative Data","National Plan ID","varchar"
"dbo","cmc_bphp_indic","pypy_id_no","HIPAA Payment Indicative Data","Payer Identification Number","varchar"
"dbo","cmc_bphp_indic","pypy_hlth_ind_no","HIPAA Payment Indicative Data","Health Industry Number","varchar"
"dbo","cmc_bphp_indic","pypy_naic_code","HIPAA Payment Indicative Data","National Association of Insurance Commissioners Code","varchar"
"dbo","cmc_bphp_indic","pypy_website","HIPAA Payment Indicative Data","Payor Website URL Address","varchar"
"dbo","cmc_bphp_indic","pypy_bc_name","HIPAA Payment Indicative Data","Payor Business Contact Name","varchar"
"dbo","cmc_bphp_indic","pypy_bc_phone","HIPAA Payment Indicative Data","Payor Business Contact Phone Number","varchar"
"dbo","cmc_bphp_indic","pypy_bc_phone_ext","HIPAA Payment Indicative Data","Payor Business Contact Phone Number Extension","char"
"dbo","cmc_bphp_indic","pypy_bc_fax","HIPAA Payment Indicative Data","Payor Business Contact Fax Number","varchar"
"dbo","cmc_bphp_indic","pypy_bc_email","HIPAA Payment Indicative Data","Payor Business Contact Email","varchar"
"dbo","cmc_bphp_indic","pypy_tc_name","HIPAA Payment Indicative Data","Payor Technical Contact Name","varchar"
"dbo","cmc_bphp_indic","pypy_tc_phone","HIPAA Payment Indicative Data","Payor Technical Contact Phone Number","varchar"
"dbo","cmc_bphp_indic","pypy_tc_phone_ext","HIPAA Payment Indicative Data","Payor Technical Contact Phone Number Extension","char"
"dbo","cmc_bphp_indic","pypy_tc_fax","HIPAA Payment Indicative Data","Payor Technical Contact Fax Number","varchar"
"dbo","cmc_bphp_indic","pypy_tc_email","HIPAA Payment Indicative Data","Payor Technical Contact Email","varchar"
"dbo","cmc_bphp_indic","pypy_tc_website","HIPAA Payment Indicative Data","Payor Technical Contact Website URL Address","varchar"
"dbo","cmc_bphp_indic","prpr_rmt_trans_cd","HIPAA Payment Indicative Data","Report Transmission Code associated to the Remittance Delivery","char"
"dbo","cmc_bphp_indic","prpr_rmt_del_name","HIPAA Payment Indicative Data","Name associated to the Remittance Delivery","varchar"
"dbo","cmc_bphp_indic","prpr_rmt_comm_no","HIPAA Payment Indicative Data","Communication Number associated to the Remittance Delivery","varchar"
"dbo","cmc_bphp_indic","bphp_lock_token","HIPAA Payment Indicative Data","Lock Token","smallint"
"dbo","cmc_bphp_indic","atxr_source_id","HIPAA Payment Indicative Data","Attachment Source Id","datetime"
