"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpil_clm_dtl","ckpy_ref_id","Batch Print ITS Claim Line Level","Payment Reference ID","char"
"dbo","cmc_bpil_clm_dtl","clcl_id","Batch Print ITS Claim Line Level","Claim Identifier","char"
"dbo","cmc_bpil_clm_dtl","cdml_seq_no","Batch Print ITS Claim Line Level","Claim Sequence Number","smallint"
"dbo","cmc_bpil_clm_dtl","cdmi_prce_meth","Batch Print ITS Claim Line Level","Pricing Method","char"
"dbo","cmc_bpil_clm_dtl","cdmi_prce_pri_rule","Batch Print ITS Claim Line Level","Pricing Primary Rule","char"
"dbo","cmc_bpil_clm_dtl","clmi_its_sccf_no","Batch Print ITS Claim Line Level","ITS SCCF Number","varchar"
"dbo","cmc_bpil_clm_dtl","cdmi_pct_fctr","Batch Print ITS Claim Line Level","Percentage Factor - Line Level","money"
"dbo","cmc_bpil_clm_dtl","cdpp_class_prov","Batch Print ITS Claim Line Level","Classification of Provider - Line Level","char"
"dbo","cmc_bpil_clm_dtl","cdpp_prpr_typ_avlb","Batch Print ITS Claim Line Level","PPO Provider Type Availability - Line Level","char"
"dbo","cmc_bpil_clm_dtl","cdmi_sf_price","Batch Print ITS Claim Line Level","Host Price","money"
"dbo","cmc_bpil_clm_dtl","cdmi_surchg_pct","Batch Print ITS Claim Line Level","Surcharge Amount","money"
"dbo","cmc_bpil_clm_dtl","cdmi_surchg_amt","Batch Print ITS Claim Line Level","Surcharge Percentage","money"
"dbo","cmc_bpil_clm_dtl","cdmi_calc_dis_amt","Batch Print ITS Claim Line Level","ITS Calculated Discount Amount.","money"
"dbo","cmc_bpil_clm_dtl","cdmi_addl_data","Batch Print ITS Claim Line Level","Additional Data","varchar"
"dbo","cmc_bpil_clm_dtl","cdmi_pvt_rm_diff","Batch Print ITS Claim Line Level","Private Room Differential","money"
"dbo","cmc_bpil_clm_dtl","itcd_its_code1","Batch Print ITS Claim Line Level","ITS Code 1","char"
"dbo","cmc_bpil_clm_dtl","itcd_desc1","Batch Print ITS Claim Line Level","ITS Code Description 1","varchar"
"dbo","cmc_bpil_clm_dtl","itcd_its_code2","Batch Print ITS Claim Line Level","ITS Code 2","char"
"dbo","cmc_bpil_clm_dtl","itcd_desc2","Batch Print ITS Claim Line Level","ITS Code Description 2","varchar"
"dbo","cmc_bpil_clm_dtl","itcd_its_code3","Batch Print ITS Claim Line Level","ITS Code 3","char"
"dbo","cmc_bpil_clm_dtl","itcd_desc3","Batch Print ITS Claim Line Level","ITS Code Description 3","varchar"
"dbo","cmc_bpil_clm_dtl","itcd_its_code4","Batch Print ITS Claim Line Level","ITS Code 4","char"
"dbo","cmc_bpil_clm_dtl","itcd_desc4","Batch Print ITS Claim Line Level","ITS Code Description 4","varchar"
"dbo","cmc_bpil_clm_dtl","itcd_its_code5","Batch Print ITS Claim Line Level","ITS Code 5","char"
"dbo","cmc_bpil_clm_dtl","itcd_desc5","Batch Print ITS Claim Line Level","ITS Code Description 5","varchar"
"dbo","cmc_bpil_clm_dtl","bpil_cdor_xd_amt","Batch Print ITS Claim Line Level","ITS Private Room Non-Covered Amount","money"
"dbo","cmc_bpil_clm_dtl","bpil_cdor_xd_excd","Batch Print ITS Claim Line Level","Explanation ID","char"
"dbo","cmc_bpil_clm_dtl","bpil_cdor_xd_txt1","Batch Print ITS Claim Line Level","ITS claim line override text 1","varchar"
"dbo","cmc_bpil_clm_dtl","bpil_cdor_xd_txt2","Batch Print ITS Claim Line Level","ITS Claim line override text 2","varchar"
"dbo","cmc_bpil_clm_dtl","cdim_hcp_code1","Batch Print ITS Claim Line Level","First Occurrence of HealthCare Policy ID","varchar"
"dbo","cmc_bpil_clm_dtl","cdim_hcp_code2","Batch Print ITS Claim Line Level","Second Occurrence of HealthCare Policy ID","varchar"
"dbo","cmc_bpil_clm_dtl","cdim_hcp_code3","Batch Print ITS Claim Line Level","Third Occurrence of HealthCare Policy ID","varchar"
"dbo","cmc_bpil_clm_dtl","cdim_hcp_code4","Batch Print ITS Claim Line Level","Fourth Occurrence of HealthCare Policy ID","varchar"
"dbo","cmc_bpil_clm_dtl","cdim_hcp_code5","Batch Print ITS Claim Line Level","Fifth Occurrence of HealthCare Policy ID","varchar"
"dbo","cmc_bpil_clm_dtl","bpil_lock_token","Batch Print ITS Claim Line Level","Lock Token","smallint"
"dbo","cmc_bpil_clm_dtl","atxr_source_id","Batch Print ITS Claim Line Level","Attachment Source Id","datetime"
"dbo","cmc_bpil_clm_dtl","cdmi_supp_disc_amt_nvl","Batch Print ITS Claim Line Level","Supplemental Amount","money"
