"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpio_cob","ckpy_ref_id","Batch Print Other Insurance Carrier Information Table","Payment Reference ID","char"
"dbo","cmc_bpio_cob","clcl_id","Batch Print Other Insurance Carrier Information Table","Claim Identifier","char"
"dbo","cmc_bpio_cob","meme_ck","Batch Print Other Insurance Carrier Information Table","Member Contrived Key","int"
"dbo","cmc_bpio_cob","clio_last_name","Batch Print Other Insurance Carrier Information Table","Other insured last name","varchar"
"dbo","cmc_bpio_cob","clio_first_name","Batch Print Other Insurance Carrier Information Table","Other insured first name","varchar"
"dbo","cmc_bpio_cob","clio_mid_init","Batch Print Other Insurance Carrier Information Table","Other insured middle initial","char"
"dbo","cmc_bpio_cob","clio_opl_id","Batch Print Other Insurance Carrier Information Table","Other insured identification Number","varchar"
"dbo","cmc_bpio_cob","clio_birth_dt","Batch Print Other Insurance Carrier Information Table","Other insured birth date","datetime"
"dbo","cmc_bpio_cob","clio_sex","Batch Print Other Insurance Carrier Information Table","Other insured gender","char"
"dbo","cmc_bpio_cob","clio_emp_schl","Batch Print Other Insurance Carrier Information Table","Other insured employer/school","varchar"
"dbo","cmc_bpio_cob","clio_payer_name","Batch Print Other Insurance Carrier Information Table","Other insured payer name","varchar"
"dbo","cmc_bpio_cob","clio_opl_calc_meth","Batch Print Other Insurance Carrier Information Table","Other Party Liability Calculation Method","char"
"dbo","cmc_bpio_cob","clio_opl_ded_amt","Batch Print Other Insurance Carrier Information Table","Other Party Liability Deductible Amount submitted","money"
"dbo","cmc_bpio_cob","clio_opl_coin_amt","Batch Print Other Insurance Carrier Information Table","Other Party Liability Coinsurance Amount submitted with the claim","money"
"dbo","cmc_bpio_cob","clio_allow_amt","Batch Print Other Insurance Carrier Information Table","Other Party Liability Allowable Amount submitted with the claim","money"
"dbo","cmc_bpio_cob","clio_paid_amt","Batch Print Other Insurance Carrier Information Table","Other Party Liability Paid Amount","money"
"dbo","cmc_bpio_cob","clio_last_name2","Batch Print Other Insurance Carrier Information Table","Other insured last name","varchar"
"dbo","cmc_bpio_cob","clio_first_name2","Batch Print Other Insurance Carrier Information Table","Other insured first name","varchar"
"dbo","cmc_bpio_cob","clio_mid_init2","Batch Print Other Insurance Carrier Information Table","Other insured middle initial","char"
"dbo","cmc_bpio_cob","clio_op2_id","Batch Print Other Insurance Carrier Information Table","Other insured identification number","varchar"
"dbo","cmc_bpio_cob","clio_birth_dt2","Batch Print Other Insurance Carrier Information Table","Other insured birth date","datetime"
"dbo","cmc_bpio_cob","clio_sex2","Batch Print Other Insurance Carrier Information Table","Other insured gender","char"
"dbo","cmc_bpio_cob","clio_emp_schl2","Batch Print Other Insurance Carrier Information Table","Other insured employer/school","varchar"
"dbo","cmc_bpio_cob","clio_op2_calc_meth","Batch Print Other Insurance Carrier Information Table","Other Carrier Calculation Method","char"
"dbo","cmc_bpio_cob","clio_op2_ded_amt","Batch Print Other Insurance Carrier Information Table","OPL Deductible Amount submitted with claim","money"
