"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_bpol_ovr_lag","acpr_ref_id","Batch Print Overpayment Lag","Payment Reduction Reference ID","char"
"dbo","cmc_bpol_ovr_lag","acpr_sub_type","Batch Print Overpayment Lag","ACPR Sub-type","char"
"dbo","cmc_bpol_ovr_lag","ovpl_mctr_ftyp","Batch Print Overpayment Lag","Letter Form Type","char"
"dbo","cmc_bpol_ovr_lag","clcl_cl_sub_type","Batch Print Overpayment Lag","Claim Sub Type","char"
"dbo","cmc_bpol_ovr_lag","clcl_id","Batch Print Overpayment Lag","Claim Identifier","char"
"dbo","cmc_bpol_ovr_lag","clck_payee_ind","Batch Print Overpayment Lag","Payee Indicator","char"
"dbo","cmc_bpol_ovr_lag","lobd_id","Batch Print Overpayment Lag","Line Of Business","char"
"dbo","cmc_bpol_ovr_lag","acpr_payee_prpr_id","Batch Print Overpayment Lag","Payee Provider ID","char"
"dbo","cmc_bpol_ovr_lag","acpr_payee_ck","Batch Print Overpayment Lag","Payee Contrived Key","int"
"dbo","cmc_bpol_ovr_lag","acpr_create_dt","Batch Print Overpayment Lag","Create Date","datetime"
"dbo","cmc_bpol_ovr_lag","acpr_orig_amt","Batch Print Overpayment Lag","Reduction Original Amount","money"
"dbo","cmc_bpol_ovr_lag","acpr_ofst_beg_dt","Batch Print Overpayment Lag","Offset Begin Date","datetime"
"dbo","cmc_bpol_ovr_lag","ckpy_ref_id","Batch Print Overpayment Lag","Check Reference ID","char"
"dbo","cmc_bpol_ovr_lag","meme_ck","Batch Print Overpayment Lag","Member Contrived Key","int"
"dbo","cmc_bpol_ovr_lag","meme_last_name","Batch Print Overpayment Lag","Last Name","varchar"
"dbo","cmc_bpol_ovr_lag","meme_first_name","Batch Print Overpayment Lag","First Name","varchar"
"dbo","cmc_bpol_ovr_lag","meme_mid_init","Batch Print Overpayment Lag","Middle Initial","char"
"dbo","cmc_bpol_ovr_lag","meme_title","Batch Print Overpayment Lag","Title","varchar"
"dbo","cmc_bpol_ovr_lag","meda_confid_ind","Batch Print Overpayment Lag","Confidential Communications Indicator","char"
"dbo","cmc_bpol_ovr_lag","ckck_payee_name","Batch Print Overpayment Lag","Check Payee Name","varchar"
"dbo","cmc_bpol_ovr_lag","bpid_payee_addr1","Batch Print Overpayment Lag","Payee Address Line One","varchar"
"dbo","cmc_bpol_ovr_lag","bpid_payee_addr2","Batch Print Overpayment Lag","Payee Address Line Two","varchar"
"dbo","cmc_bpol_ovr_lag","bpid_payee_addr3","Batch Print Overpayment Lag","Payee Address Line Three","varchar"
"dbo","cmc_bpol_ovr_lag","bpid_payee_city","Batch Print Overpayment Lag","Payee Address City","varchar"
"dbo","cmc_bpol_ovr_lag","bpid_payee_state","Batch Print Overpayment Lag","Payee Address State","char"
"dbo","cmc_bpol_ovr_lag","bpid_payee_ctry_cd","Batch Print Overpayment Lag","Payee's Country","char"
"dbo","cmc_bpol_ovr_lag","clcl_low_svc_dt","Batch Print Overpayment Lag","Claim's Earliest From Date","datetime"
"dbo","cmc_bpol_ovr_lag","bpol_lock_token","Batch Print Overpayment Lag","Lock Token","smallint"
"dbo","cmc_bpol_ovr_lag","atxr_source_id","Batch Print Overpayment Lag","Attachment Source Id","datetime"
"dbo","cmc_bpol_ovr_lag","sys_last_upd_dtm","Batch Print Overpayment Lag","Last Update Datetime","datetime"
"dbo","cmc_bpol_ovr_lag","sys_usus_id","Batch Print Overpayment Lag","Last Update User ID","varchar"
"dbo","cmc_bpol_ovr_lag","sys_dbuser_id","Batch Print Overpayment Lag","Last Update DBMS User ID","varchar"
