"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_ccfi_indic","ccfi_id","Assessment & Care Plan Form - Indicative Data","Survey or Care Plan Template ID","char"
"dbo","cmc_ccfi_indic","ccfi_type","Assessment & Care Plan Form - Indicative Data","Qualifier - Assessment or Care Plan","char"
"dbo","cmc_ccfi_indic","ccfi_desc","Assessment & Care Plan Form - Indicative Data","Description - Assessment or Care Plan Plus","varchar"
"dbo","cmc_ccfi_indic","ccfi_exp_dt","Assessment & Care Plan Form - Indicative Data","Expiration Date","datetime"
"dbo","cmc_ccfi_indic","ccfi_last_rev_dt","Assessment & Care Plan Form - Indicative Data","Last Reviewed Date","datetime"
"dbo","cmc_ccfi_indic","ccfi_last_upd_dtm","Assessment & Care Plan Form - Indicative Data","Last Update Date and Time","datetime"
"dbo","cmc_ccfi_indic","ccfi_last_upd_usid","Assessment & Care Plan Form - Indicative Data","Last Updated User ID","char"
"dbo","cmc_ccfi_indic","ccfi_mctr_type_1","Assessment & Care Plan Form - Indicative Data","Type 1 Classification - User-defined","char"
"dbo","cmc_ccfi_indic","ccfi_mctr_type_2","Assessment & Care Plan Form - Indicative Data","Type 2 Classification - User-defined","char"
"dbo","cmc_ccfi_indic","idcd_id","Assessment & Care Plan Form - Indicative Data","Diagnosis Code Qualifier","varchar"
"dbo","cmc_ccfi_indic","idcd_type","Assessment & Care Plan Form - Indicative Data","ICD Version","char"
"dbo","cmc_ccfi_indic","ccfi_next_rev_dt","Assessment & Care Plan Form - Indicative Data","Next Review Date","datetime"
"dbo","cmc_ccfi_indic","apmd_id","Assessment & Care Plan Form - Indicative Data","Module ID - System generated","char"
"dbo","cmc_ccfi_indic","ccfi_lock_token","Assessment & Care Plan Form - Indicative Data","Lock Token","smallint"
"dbo","cmc_ccfi_indic","atxr_source_id","Assessment & Care Plan Form - Indicative Data","Attachment Source Id","datetime"
