"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cdaf_admn_fees","clcl_id","Vision Claim Line Administrative Fees Table","Claim Identifier","char"
"dbo","cmc_cdaf_admn_fees","cdvl_seq_no","Vision Claim Line Administrative Fees Table","Line-Item Sequence Number","smallint"
"dbo","cmc_cdaf_admn_fees","cdaf_seq_no","Vision Claim Line Administrative Fees Table","Sequence Number","smallint"
"dbo","cmc_cdaf_admn_fees","cdaf_agaf_apply_ind","Vision Claim Line Administrative Fees Table","Admin Fee Applicability","char"
"dbo","cmc_cdaf_admn_fees","cdaf_admn_fee_amt","Vision Claim Line Administrative Fees Table","Administrative Fee Amount","money"
"dbo","cmc_cdaf_admn_fees","cdaf_agaf_operand","Vision Claim Line Administrative Fees Table","Administrative Fee Operand","char"
"dbo","cmc_cdaf_admn_fees","cdaf_agaf_int_ind","Vision Claim Line Administrative Fees Table","Interest Applies to Admin Fee Indicator","char"
"dbo","cmc_cdaf_admn_fees","cdaf_agaf_tcc_ind","Vision Claim Line Administrative Fees Table","Admin Fee Included in Total Cost of Care Indicator","char"
"dbo","cmc_cdaf_admn_fees","agaf_mctr_type","Vision Claim Line Administrative Fees Table","Admin Fee Type","char"
"dbo","cmc_cdaf_admn_fees","cdaf_lock_token","Vision Claim Line Administrative Fees Table","Lock Token","smallint"
"dbo","cmc_cdaf_admn_fees","sys_last_upd_dtm","Vision Claim Line Administrative Fees Table","Last Update Datetime","datetime"
"dbo","cmc_cdaf_admn_fees","sys_usus_id","Vision Claim Line Administrative Fees Table","Last Update User ID","varchar"
"dbo","cmc_cdaf_admn_fees","sys_dbuser_id","Vision Claim Line Administrative Fees Table","Last Update DBMS User ID","varchar"
