"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cdec_li_enc","clcl_id","Claim Line Encounter Data","Claim Identifier","char"
"dbo","cmc_cdec_li_enc","cdml_seq_no","Claim Line Encounter Data","Line Item Sequence Number","smallint"
"dbo","cmc_cdec_li_enc","meme_ck","Claim Line Encounter Data","Member Contrived Key","int"
"dbo","cmc_cdec_li_enc","cdec_input_copay","Claim Line Encounter Data","Copay Amount Submitted","money"
"dbo","cmc_cdec_li_enc","cdec_input_ded","Claim Line Encounter Data","Deductible amount submitted","money"
"dbo","cmc_cdec_li_enc","cdec_input_coins","Claim Line Encounter Data","Coinsurance amount submitted","money"
"dbo","cmc_cdec_li_enc","cdec_input_al_unit","Claim Line Encounter Data","Allowed units submitted","smallint"
"dbo","cmc_cdec_li_enc","cdec_input_allow","Claim Line Encounter Data","Allowed amount submitted","money"
"dbo","cmc_cdec_li_enc","cdec_input_paid","Claim Line Encounter Data","Paid amount submitted on encounter","money"
"dbo","cmc_cdec_li_enc","cdec_input_pd_ind","Claim Line Encounter Data","Paid amount indicator","char"
"dbo","cmc_cdec_li_enc","cdec_idcd_id_repl","Claim Line Encounter Data","Original diagnosis code submitted","varchar"
"dbo","cmc_cdec_li_enc","cdec_ipcd_id_repl","Claim Line Encounter Data","Original procedure code submitted","char"
"dbo","cmc_cdec_li_enc","cdec_disall_excd","Claim Line Encounter Data","Disallow Explanation Code","char"
"dbo","cmc_cdec_li_enc","cdec_addl_data","Claim Line Encounter Data","Encounter additional data","varchar"
"dbo","cmc_cdec_li_enc","cdec_lock_token","Claim Line Encounter Data","Lock Token","smallint"
"dbo","cmc_cdec_li_enc","atxr_source_id","Claim Line Encounter Data","Attachment Source Id","datetime"
"dbo","cmc_cdec_li_enc","sys_last_upd_dtm","Claim Line Encounter Data","Last Update Datetime","datetime"
"dbo","cmc_cdec_li_enc","sys_usus_id","Claim Line Encounter Data","Last Update User ID","varchar"
"dbo","cmc_cdec_li_enc","sys_dbuser_id","Claim Line Encounter Data","Last Update DBMS User ID","varchar"
