"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cdsc_shad_med","clcl_id","Medical Claim Shadow Adjudication Results","Claim Identifier","char"
"dbo","cmc_cdsc_shad_med","cdml_seq_no","Medical Claim Shadow Adjudication Results","Line Item Sequence Number","smallint"
"dbo","cmc_cdsc_shad_med","meme_ck","Medical Claim Shadow Adjudication Results","Member Contrived Key","int"
"dbo","cmc_cdsc_shad_med","clcs_sts","Medical Claim Shadow Adjudication Results","Status","char"
"dbo","cmc_cdsc_shad_med","sepy_shdw_pfx_nvl","Medical Claim Shadow Adjudication Results","Product Component Shadow Service Payment Prefix","char"
"dbo","cmc_cdsc_shad_med","sese_rule","Medical Claim Shadow Adjudication Results","Shadow Service Rule","char"
"dbo","cmc_cdsc_shad_med","cdsc_alt_rule_ind","Medical Claim Shadow Adjudication Results","Alternate Rule","char"
"dbo","cmc_cdsc_shad_med","dede_shdw_pfx_nvl","Medical Claim Shadow Adjudication Results","Shadow Deductible Prefix","char"
"dbo","cmc_cdsc_shad_med","ltlt_shdw_pfx_nvl","Medical Claim Shadow Adjudication Results","Shadow Limit Prefix","char"
"dbo","cmc_cdsc_shad_med","cdml_consider_chg","Medical Claim Shadow Adjudication Results","Considered Charge","money"
"dbo","cmc_cdsc_shad_med","cdsc_price_allow","Medical Claim Shadow Adjudication Results","Initial Adjudication Allowable Amount","money"
"dbo","cmc_cdsc_shad_med","cdsc_price_units","Medical Claim Shadow Adjudication Results","Initial Adjudication Allowable Units","smallint"
"dbo","cmc_cdsc_shad_med","cdsc_allow","Medical Claim Shadow Adjudication Results","Shadow Allowable Amount","money"
"dbo","cmc_cdsc_shad_med","cdsc_units_allow","Medical Claim Shadow Adjudication Results","Shadow Number of Units/Days","smallint"
"dbo","cmc_cdsc_shad_med","cdsc_ded_amt","Medical Claim Shadow Adjudication Results","Shadow Deductible Amount","money"
"dbo","cmc_cdsc_shad_med","cdsc_ded_acc_no","Medical Claim Shadow Adjudication Results","Deductible Accumulator Number","smallint"
"dbo","cmc_cdsc_shad_med","cdsc_copay_amt","Medical Claim Shadow Adjudication Results","Shadow Copay Amount","money"
"dbo","cmc_cdsc_shad_med","cdsc_coins_amt","Medical Claim Shadow Adjudication Results","Shadow Coinsurance Amount","money"
"dbo","cmc_cdsc_shad_med","cdsc_paid_amt","Medical Claim Shadow Adjudication Results","Shadow Line Item Paid Amount","money"
"dbo","cmc_cdsc_shad_med","cdsc_disall_amt","Medical Claim Shadow Adjudication Results","Shadow Disallow Amount","money"
"dbo","cmc_cdsc_shad_med","cdsc_disall_excd","Medical Claim Shadow Adjudication Results","Shadow Disallow Explanation Code","char"
"dbo","cmc_cdsc_shad_med","cdsc_lock_token","Medical Claim Shadow Adjudication Results","Lock Token","smallint"
"dbo","cmc_cdsc_shad_med","atxr_source_id","Medical Claim Shadow Adjudication Results","Attachment Source Id","datetime"
"dbo","cmc_cdsc_shad_med","sys_last_upd_dtm","Medical Claim Shadow Adjudication Results","Last Update Datetime","datetime"
"dbo","cmc_cdsc_shad_med","sys_usus_id","Medical Claim Shadow Adjudication Results","Last Update User ID","varchar"
"dbo","cmc_cdsc_shad_med","sys_dbuser_id","Medical Claim Shadow Adjudication Results","Last Update DBMS User ID","varchar"
