"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cdvd_li_dis","clcl_id","Vision Line Disallow","Claim Identifier","char"
"dbo","cmc_cdvd_li_dis","cdvl_seq_no","Vision Line Disallow","Claim Line Sequence Number","smallint"
"dbo","cmc_cdvd_li_dis","cdvd_type","Vision Line Disallow","Disallow Type","char"
"dbo","cmc_cdvd_li_dis","meme_ck","Vision Line Disallow","Member Contrived Key","int"
"dbo","cmc_cdvd_li_dis","cdvd_disall_amt","Vision Line Disallow","Line Item Disallow Amount","money"
"dbo","cmc_cdvd_li_dis","excd_id","Vision Line Disallow","Explanation Identifier","char"
"dbo","cmc_cdvd_li_dis","cdvd_lock_token","Vision Line Disallow","Lock Token","smallint"
"dbo","cmc_cdvd_li_dis","atxr_source_id","Vision Line Disallow","Attachment Source Id","datetime"
"dbo","cmc_cdvd_li_dis","sys_last_upd_dtm","Vision Line Disallow","Last Update Datetime","datetime"
"dbo","cmc_cdvd_li_dis","sys_usus_id","Vision Line Disallow","Last Update User ID","varchar"
"dbo","cmc_cdvd_li_dis","sys_dbuser_id","Vision Line Disallow","Last Update DBMS User ID","varchar"
