"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cgcg_cat_rule","cgcg_id","Dental Category Rule Table","Dental Category ID","char"
"dbo","cmc_cgcg_cat_rule","cgcg_rule","Dental Category Rule Table","Dental Category Rule ID","char"
"dbo","cmc_cgcg_cat_rule","cgrl_rel_id","Dental Category Rule Table","Dental Category Rule Related Category ID","char"
"dbo","cmc_cgcg_cat_rule","cgcg_desc","Dental Category Rule Table","Dental Category Rule Description","char"
"dbo","cmc_cgcg_cat_rule","cgcg_rel_amt","Dental Category Rule Table","Dental Category Rule Related Payment Amount","money"
"dbo","cmc_cgcg_cat_rule","cgcg_rel_ctr","Dental Category Rule Table","Dental Category Rule Related Counter","smallint"
"dbo","cmc_cgcg_cat_rule","cgcg_tier_ind","Dental Category Rule Table","Dental Category Rule Type Indicator","char"
"dbo","cmc_cgcg_cat_rule","cgcg_opts","Dental Category Rule Table","Dental Category Rule Options","char"
"dbo","cmc_cgcg_cat_rule","wmds_seq_no","Dental Category Rule Table","Dental Category Rule User Warning Message","smallint"
"dbo","cmc_cgcg_cat_rule","cgcg_calc_ind","Dental Category Rule Table","Dental Category Rule Calculation Order Indicator","char"
"dbo","cmc_cgcg_cat_rule","cgcg_dis_excd_id","Dental Category Rule Table","Dental Category Rule Disallow Explanation Code","char"
"dbo","cmc_cgcg_cat_rule","cgcg_max_cpay_pct","Dental Category Rule Table","Dental Category Rule Maximum Copay Percentage","money"
"dbo","cmc_cgcg_cat_rule","cgcg_incent_ind","Dental Category Rule Table","Dental Category Rule Incentive Indicator","char"
"dbo","cmc_cgcg_cat_rule","cgcg_fsa_reimb_ind","Dental Category Rule Table","Dental Category FSA Reimbursment Indicator","char"
"dbo","cmc_cgcg_cat_rule","cgcg_lock_token","Dental Category Rule Table","Lock Token","smallint"
"dbo","cmc_cgcg_cat_rule","atxr_source_id","Dental Category Rule Table","Attachment Source Id","datetime"
