"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_ckpy_payee_sum","ckpy_ref_id","Payment  Summary Information Table","Payment Reference ID","char"
"dbo","cmc_ckpy_payee_sum","ckpy_type","Payment  Summary Information Table","Payee Summary Type","char"
"dbo","cmc_ckpy_payee_sum","ckpy_pay_dt","Payment  Summary Information Table","Check/Payment Date","datetime"
"dbo","cmc_ckpy_payee_sum","lobd_id","Payment  Summary Information Table","Line of Business ID","char"
"dbo","cmc_ckpy_payee_sum","ckpy_payee_pr_id","Payment  Summary Information Table","Payment Provider ID","char"
"dbo","cmc_ckpy_payee_sum","ckpy_payee_ck","Payment  Summary Information Table","Payee Contrived Key","int"
"dbo","cmc_ckpy_payee_sum","ckpy_payee_type","Payment  Summary Information Table","Payment Summary Payee Type","char"
"dbo","cmc_ckpy_payee_sum","ckpy_pymt_type","Payment  Summary Information Table","Payment Summary Payment Type","char"
"dbo","cmc_ckpy_payee_sum","ckpy_comb_ind","Payment  Summary Information Table","Combined Claim Payment Indicator","char"
"dbo","cmc_ckpy_payee_sum","ckpy_per_end_dt","Payment  Summary Information Table","Period End Date","datetime"
"dbo","cmc_ckpy_payee_sum","ckpy_orig_amt","Payment  Summary Information Table","Original Summary Amount","money"
"dbo","cmc_ckpy_payee_sum","ckpy_deduct_amt","Payment  Summary Information Table","Deduction Amount","money"
"dbo","cmc_ckpy_payee_sum","ckpy_net_amt","Payment  Summary Information Table","Net Payment  Amount","money"
"dbo","cmc_ckpy_payee_sum","ckpy_curr_ckck_seq","Payment  Summary Information Table","Current Check Sequence Number","int"
"dbo","cmc_ckpy_payee_sum","ckpy_lock_token","Payment  Summary Information Table","Lock Token","smallint"
"dbo","cmc_ckpy_payee_sum","atxr_source_id","Payment  Summary Information Table","Attachment Source Id","datetime"
"dbo","cmc_ckpy_payee_sum","ckpy_int_amt_nvl","Payment  Summary Information Table","Interest Amount","money"
"dbo","cmc_ckpy_payee_sum","tpsl_ent_id_nvl","Payment  Summary Information Table","Reinsurance Code","varchar"
