"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_clcs_status","clcl_id","Shadow Adjudication Claim Level and Status table","Claim Identifier","char"
"dbo","cmc_clcs_status","clcl_cur_sts","Shadow Adjudication Claim Level and Status table","Claim Status","char"
"dbo","cmc_clcs_status","meme_ck","Shadow Adjudication Claim Level and Status table","Member Contrived Key","int"
"dbo","cmc_clcs_status","grgr_ck","Shadow Adjudication Claim Level and Status table","Group Contrived Key","int"
"dbo","cmc_clcs_status","sbsb_ck","Shadow Adjudication Claim Level and Status table","Subscriber Contrived Key","int"
"dbo","cmc_clcs_status","clcl_cl_type","Shadow Adjudication Claim Level and Status table","Claim Type","char"
"dbo","cmc_clcs_status","pdpd_acc_shdw_sfx_nvl","Shadow Adjudication Claim Level and Status table","Shadow Accumulator Suffix","char"
"dbo","cmc_clcs_status","clcs_create_dtm","Shadow Adjudication Claim Level and Status table","Create Date/Time","datetime"
"dbo","cmc_clcs_status","clcs_sts","Shadow Adjudication Claim Level and Status table","Status","char"
"dbo","cmc_clcs_status","clcs_proc_dtm","Shadow Adjudication Claim Level and Status table","Processed Date/Time","datetime"
"dbo","cmc_clcs_status","clcs_lock_token","Shadow Adjudication Claim Level and Status table","Lock Token","smallint"
"dbo","cmc_clcs_status","sys_last_upd_dtm","Shadow Adjudication Claim Level and Status table","Last Update Datetime","datetime"
"dbo","cmc_clcs_status","sys_usus_id","Shadow Adjudication Claim Level and Status table","Last Update User ID","varchar"
"dbo","cmc_clcs_status","sys_dbuser_id","Shadow Adjudication Claim Level and Status table","Last Update DBMS User ID","varchar"
