"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cldl_clm_dtl","ckpy_ref_id","Dental Claim Detail Batch Print Table","Check Payment Reference ID","char"
"dbo","cmc_cldl_clm_dtl","clcl_id","Dental Claim Detail Batch Print Table","Claim Identification Number","char"
"dbo","cmc_cldl_clm_dtl","cddl_seq_no","Dental Claim Detail Batch Print Table","Service Line Sequence Number","smallint"
"dbo","cmc_cldl_clm_dtl","cddl_from_dt","Dental Claim Detail Batch Print Table","Service From Date","datetime"
"dbo","cmc_cldl_clm_dtl","cgcg_id","Dental Claim Detail Batch Print Table","Dental Category Identification Number","char"
"dbo","cmc_cldl_clm_dtl","cgcg_rule","Dental Claim Detail Batch Print Table","Payment Category Rule","char"
"dbo","cmc_cldl_clm_dtl","cgcg_fsa_reimb_ind","Dental Claim Detail Batch Print Table","Service Reimbursement Indicator","char"
"dbo","cmc_cldl_clm_dtl","cgds_desc","Dental Claim Detail Batch Print Table","Dental Service Category Description","varchar"
"dbo","cmc_cldl_clm_dtl","psdc_id","Dental Claim Detail Batch Print Table","Place of Service Code","char"
"dbo","cmc_cldl_clm_dtl","psdc_desc","Dental Claim Detail Batch Print Table","Place of Service Description","varchar"
"dbo","cmc_cldl_clm_dtl","dpdp_id","Dental Claim Detail Batch Print Table","Dental Procedure Code","char"
"dbo","cmc_cldl_clm_dtl","dpds_desc","Dental Claim Detail Batch Print Table","Dental Procedure Code Description","varchar"
"dbo","cmc_cldl_clm_dtl","dpcg_dp_id_alt","Dental Claim Detail Batch Print Table","Alternate Dental Procedure Code","char"
"dbo","cmc_cldl_clm_dtl","cldl_altdp_dp_desc","Dental Claim Detail Batch Print Table","Alternate Dental Procedure Code Description","varchar"
"dbo","cmc_cldl_clm_dtl","cddl_altdp_excd_id","Dental Claim Detail Batch Print Table","Alternate Dental Procedure Explanation Code ID","char"
"dbo","cmc_cldl_clm_dtl","cldl_altdp_txt1","Dental Claim Detail Batch Print Table","Alternate Dental Procedure Code Text 1","varchar"
"dbo","cmc_cldl_clm_dtl","cldl_altdp_txt2","Dental Claim Detail Batch Print Table","Alternate Dental Procedure Code Text 2","varchar"
"dbo","cmc_cldl_clm_dtl","cddl_pr_pymt_amt","Dental Claim Detail Batch Print Table","Provider Payment Amounr","money"
"dbo","cmc_cldl_clm_dtl","cddl_sb_pymt_amt","Dental Claim Detail Batch Print Table","Subscriber Payment Amount","money"
"dbo","cmc_cldl_clm_dtl","cddl_chg_amt","Dental Claim Detail Batch Print Table","Amount Charged","money"
"dbo","cmc_cldl_clm_dtl","cldl_ext_price_amt","Dental Claim Detail Batch Print Table","External Price Amount","money"
"dbo","cmc_cldl_clm_dtl","cddl_pf_price","Dental Claim Detail Batch Print Table","Profile Pricing Amount","money"
"dbo","cmc_cldl_clm_dtl","cddl_dp_price","Dental Claim Detail Batch Print Table","Dental Procedure Pricing Amount","money"
"dbo","cmc_cldl_clm_dtl","cddl_disc_amt","Dental Claim Detail Batch Print Table","Amount Discounted","money"
"dbo","cmc_cldl_clm_dtl","cddl_ag_price","Dental Claim Detail Batch Print Table","Agreement Price","money"
"dbo","cmc_cldl_clm_dtl","cddl_consider_chg","Dental Claim Detail Batch Print Table","Considered Charge","money"
"dbo","cmc_cldl_clm_dtl","cddl_allow","Dental Claim Detail Batch Print Table","Amount Allowable","money"
"dbo","cmc_cldl_clm_dtl","cddl_disall_amt","Dental Claim Detail Batch Print Table","Amount Disallowed","money"
"dbo","cmc_cldl_clm_dtl","cddl_tooth_no","Dental Claim Detail Batch Print Table","Tooth Number","char"
"dbo","cmc_cldl_clm_dtl","cddl_tooth_beg","Dental Claim Detail Batch Print Table","Beginning Tooth Number","char"
"dbo","cmc_cldl_clm_dtl","cddl_tooth_end","Dental Claim Detail Batch Print Table","Ending Tooth Number","char"
"dbo","cmc_cldl_clm_dtl","cddl_surf","Dental Claim Detail Batch Print Table","Tooth Surface Number","char"
"dbo","cmc_cldl_clm_dtl","cddl_units","Dental Claim Detail Batch Print Table","Number of Units","smallint"
"dbo","cmc_cldl_clm_dtl","cddl_units_allow","Dental Claim Detail Batch Print Table","Allowable Units","smallint"
"dbo","cmc_cldl_clm_dtl","cddl_price_ind","Dental Claim Detail Batch Print Table","Pricing Indicator","char"
"dbo","cmc_cldl_clm_dtl","cddl_disall_excd","Dental Claim Detail Batch Print Table","Disallow Explanation Code","char"
"dbo","cmc_cldl_clm_dtl","cddl_disall_txt1","Dental Claim Detail Batch Print Table","Disallow Explanation Line 1","varchar"
"dbo","cmc_cldl_clm_dtl","cddl_disall_txt2","Dental Claim Detail Batch Print Table","Disallow Explanation Line 2","varchar"
"dbo","cmc_cldl_clm_dtl","cddl_risk_wh_amt","Dental Claim Detail Batch Print Table","Risk Withhold Amount","money"
"dbo","cmc_cldl_clm_dtl","cddl_ded_amt","Dental Claim Detail Batch Print Table","Deductible Amount","money"
