"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_clpd_work_prede","clpd_row_id","Dental Pre-Determination Work Table","Row ID","numeric"
"dbo","cmc_clpd_work_prede","clcl_id","Dental Pre-Determination Work Table","Claim Identifier","char"
"dbo","cmc_clpd_work_prede","meme_ck","Dental Pre-Determination Work Table","Member Contrived Key","int"
"dbo","cmc_clpd_work_prede","grgr_ck","Dental Pre-Determination Work Table","Group Contrived Key","int"
"dbo","cmc_clpd_work_prede","sbsb_ck","Dental Pre-Determination Work Table","Subscriber Contrived Key","int"
"dbo","cmc_clpd_work_prede","sgsg_ck","Dental Pre-Determination Work Table","Subgroup Contrived Key","int"
"dbo","cmc_clpd_work_prede","clcl_cl_type","Dental Pre-Determination Work Table","Claim Type","char"
"dbo","cmc_clpd_work_prede","clcl_cl_sub_type","Dental Pre-Determination Work Table","Claim Sub Type","char"
"dbo","cmc_clpd_work_prede","clcl_cur_sts","Dental Pre-Determination Work Table","Current Claim Status","char"
"dbo","cmc_clpd_work_prede","nwnw_id","Dental Pre-Determination Work Table","Network ID","char"
"dbo","cmc_clpd_work_prede","clcl_pay_pr_ind","Dental Pre-Determination Work Table","Payee Indicator","char"
"dbo","cmc_clpd_work_prede","clcl_drag_dt","Dental Pre-Determination Work Table","Drag Date","datetime"
