"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_clpi_work_medpp","clpi_row_id","Medical Pre-Pricing Work table","Row ID","numeric"
"dbo","cmc_clpi_work_medpp","clcl_id","Medical Pre-Pricing Work table","Claim Identifier","char"
"dbo","cmc_clpi_work_medpp","meme_ck","Medical Pre-Pricing Work table","Member Contrived Key","int"
"dbo","cmc_clpi_work_medpp","grgr_ck","Medical Pre-Pricing Work table","Member Contrived Key","int"
"dbo","cmc_clpi_work_medpp","sbsb_ck","Medical Pre-Pricing Work table","Subscriber Contrived Key","int"
"dbo","cmc_clpi_work_medpp","sgsg_ck","Medical Pre-Pricing Work table","Subgroup Contrived Key","int"
"dbo","cmc_clpi_work_medpp","clcl_cl_type","Medical Pre-Pricing Work table","Claim Type","char"
"dbo","cmc_clpi_work_medpp","clcl_cl_sub_type","Medical Pre-Pricing Work table","Claim Sub Type","char"
"dbo","cmc_clpi_work_medpp","clcl_cur_sts","Medical Pre-Pricing Work table","Current Claim Status","char"
"dbo","cmc_clpi_work_medpp","nwnw_id","Medical Pre-Pricing Work table","Network ID","char"
"dbo","cmc_clpi_work_medpp","clcl_pay_pr_ind","Medical Pre-Pricing Work table","Payee Indicator","char"
"dbo","cmc_clpi_work_medpp","clcl_drag_dt","Medical Pre-Pricing Work table","Drag Date","datetime"
