"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cltw_tran_warn","clcl_id","Claim Activity Transaction Warning Table","Claim Identifier","char"
"dbo","cmc_cltw_tran_warn","cltt_dtm","Claim Activity Transaction Warning Table","Claim State Datetime","datetime"
"dbo","cmc_cltw_tran_warn","cltw_line_seq_no","Claim Activity Transaction Warning Table","Line Sequence Number","smallint"
"dbo","cmc_cltw_tran_warn","wmwm_app_lvl","Claim Activity Transaction Warning Table","Warning Message Application Level","char"
"dbo","cmc_cltw_tran_warn","wmwm_seq_no","Claim Activity Transaction Warning Table","Warning Message Number","smallint"
"dbo","cmc_cltw_tran_warn","cltw_ext_msg_cd","Claim Activity Transaction Warning Table","External Warning Message Number","varchar"
"dbo","cmc_cltw_tran_warn","meme_ck","Claim Activity Transaction Warning Table","Member Contrived Key","int"
"dbo","cmc_cltw_tran_warn","wmwm_pfx","Claim Activity Transaction Warning Table","Warning Message Prefix","char"
"dbo","cmc_cltw_tran_warn","cltw_lock_token","Claim Activity Transaction Warning Table","Lock Token","smallint"
"dbo","cmc_cltw_tran_warn","atxr_source_id","Claim Activity Transaction Warning Table","Attachment Source Id","datetime"
