"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_clxh_interim_hdr","clxh_row_id","Claim Processing Web Interim Data Header Table","Unique Row Id","numeric"
"dbo","cmc_clxh_interim_hdr","clxh_create_dtm","Claim Processing Web Interim Data Header Table","Creation Timestamp","datetime"
"dbo","cmc_clxh_interim_hdr","syin_inst","Claim Processing Web Interim Data Header Table","Instance ID","bigint"
"dbo","cmc_clxh_interim_hdr","pzap_app_id","Claim Processing Web Interim Data Header Table","Application ID","char"
"dbo","cmc_clxh_interim_hdr","usus_id","Claim Processing Web Interim Data Header Table","User Identifier","char"
"dbo","cmc_clxh_interim_hdr","clxh_format","Claim Processing Web Interim Data Header Table","Request Format","varchar"
"dbo","cmc_clxh_interim_hdr","clxh_context","Claim Processing Web Interim Data Header Table","Context ID","varchar"
"dbo","cmc_clxh_interim_hdr","sys_last_upd_dtm","Claim Processing Web Interim Data Header Table","Last Update Datetime","datetime"
"dbo","cmc_clxh_interim_hdr","sys_usus_id","Claim Processing Web Interim Data Header Table","Last Update User ID","varchar"
"dbo","cmc_clxh_interim_hdr","sys_dbuser_id","Claim Processing Web Interim Data Header Table","Last Update DBMS User ID","varchar"
