"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cmas_assess","cmcm_id","Case Management Assessment and Response Codes","Case Management ID","char"
"dbo","cmc_cmas_assess","cmab_assess_ind","Case Management Assessment and Response Codes","Assessment/Evaluation Indicator","char"
"dbo","cmc_cmas_assess","cmab_mctr_type","Case Management Assessment and Response Codes","Assessment/Evaluation Type","char"
"dbo","cmc_cmas_assess","cmab_seq_no","Case Management Assessment and Response Codes","Assessment/Evaluation Sequence Number","smallint"
"dbo","cmc_cmas_assess","cmas_seq_no","Case Management Assessment and Response Codes","Assessment Sequence No.","smallint"
"dbo","cmc_cmas_assess","cmas_mctr_asmt","Case Management Assessment and Response Codes","Assessment Question","char"
"dbo","cmc_cmas_assess","cmas_response_ind","Case Management Assessment and Response Codes","Assessment Response","char"
"dbo","cmc_cmas_assess","cmas_text","Case Management Assessment and Response Codes","Assessment Results","char"
"dbo","cmc_cmas_assess","cmas_weight","Case Management Assessment and Response Codes","Assessment Weight","smallint"
"dbo","cmc_cmas_assess","cmas_last_upd_dtm","Case Management Assessment and Response Codes","Assessment Update Date","datetime"
"dbo","cmc_cmas_assess","cmas_last_upd_usid","Case Management Assessment and Response Codes","Assessment/Evaluation Update User ID","char"
"dbo","cmc_cmas_assess","cmas_lock_token","Case Management Assessment and Response Codes","Lock Token","smallint"
"dbo","cmc_cmas_assess","atxr_source_id","Case Management Assessment and Response Codes","Attachment Source Id","datetime"
