"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cmtm_time_log","cmcm_id","Case Management Time Data","Case Management ID","char"
"dbo","cmc_cmtm_time_log","cmtm_seq_no","Case Management Time Data","CMTM Sequence Number","smallint"
"dbo","cmc_cmtm_time_log","cmtm_input_dt","Case Management Time Data","Input Date","datetime"
"dbo","cmc_cmtm_time_log","cmtm_input_usid","Case Management Time Data","User ID","char"
"dbo","cmc_cmtm_time_log","cmtm_incur_dt","Case Management Time Data","Date","datetime"
"dbo","cmc_cmtm_time_log","cmtm_rate","Case Management Time Data","Rate","money"
"dbo","cmc_cmtm_time_log","cmtm_mins","Case Management Time Data","Time Spent in Minutes","smallint"
"dbo","cmc_cmtm_time_log","cmtm_mctr_time","Case Management Time Data","User defined Activity/Time Type","char"
"dbo","cmc_cmtm_time_log","cmtm_lock_token","Case Management Time Data","Lock Token","smallint"
"dbo","cmc_cmtm_time_log","atxr_source_id","Case Management Time Data","Attachment Source Id","datetime"
