"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_coac_adv_calc","coar_id","Commission Advance Calculation Data","Arrangement ID","char"
"dbo","cmc_coac_adv_calc","cocp_comm_per","Commission Advance Calculation Data","Commission Period","smallint"
"dbo","cmc_coac_adv_calc","coce_id","Commission Advance Calculation Data","Commission Entity ID","char"
"dbo","cmc_coac_adv_calc","lobd_id","Commission Advance Calculation Data","Line of Business ID","char"
"dbo","cmc_coac_adv_calc","coac_seq_no","Commission Advance Calculation Data","Sequence Number","int"
"dbo","cmc_coac_adv_calc","blei_ck","Commission Advance Calculation Data","Billing Entity Contrived Key","int"
"dbo","cmc_coac_adv_calc","blbl_due_dt","Commission Advance Calculation Data","Bill Due Date","datetime"
"dbo","cmc_coac_adv_calc","blcn_id","Commission Advance Calculation Data","Contract ID","char"
"dbo","cmc_coac_adv_calc","coac_adv_amt","Commission Advance Calculation Data","Advance Amount","money"
"dbo","cmc_coac_adv_calc","coac_adv_origin_cd","Commission Advance Calculation Data","Advance Origin Code","char"
"dbo","cmc_coac_adv_calc","coac_adv_paid_ind","Commission Advance Calculation Data","Advance Paid Indicator","char"
"dbo","cmc_coac_adv_calc","corq_ck","Commission Advance Calculation Data","Commission Recalculation Request Contrived Key","int"
"dbo","cmc_coac_adv_calc","cobl_source_ck","Commission Advance Calculation Data","COBL Source Contived Key","bigint"
"dbo","cmc_coac_adv_calc","coac_lock_token","Commission Advance Calculation Data","Lock Token","smallint"
"dbo","cmc_coac_adv_calc","atxr_source_id","Commission Advance Calculation Data","Attachment Source Id","datetime"
