"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_coag_agreement","coar_id","Commission Entity Agreement","Arrangement ID","char"
"dbo","cmc_coag_agreement","coce_id","Commission Entity Agreement","Commission Entity ID","char"
"dbo","cmc_coag_agreement","coag_eff_dt","Commission Entity Agreement","Agreement Effective Date","datetime"
"dbo","cmc_coag_agreement","cosc_id","Commission Entity Agreement","Commission Schedule ID","char"
"dbo","cmc_coag_agreement","coag_term_dt","Commission Entity Agreement","Agreement Termination Date","datetime"
"dbo","cmc_coag_agreement","coag_mctr_trsn","Commission Entity Agreement","Agreement Termination Reason","char"
"dbo","cmc_coag_agreement","coag_mctr_etyp","Commission Entity Agreement","Agreement Type","char"
"dbo","cmc_coag_agreement","coag_schd_fctr","Commission Entity Agreement","Schedule Factor","int"
"dbo","cmc_coag_agreement","coce_ovrd_id","Commission Entity Agreement","Commission Entity Override ID","char"
"dbo","cmc_coag_agreement","coag_ovrd_fctr","Commission Entity Agreement","Override Factor","int"
"dbo","cmc_coag_agreement","coag_net_comm_ind","Commission Entity Agreement","Net of Commission Indicator","char"
"dbo","cmc_coag_agreement","coag_susp_pymt_ind","Commission Entity Agreement","Suspend Payment Indicator","char"
"dbo","cmc_coag_agreement","coag_pt_of_scl_ind","Commission Entity Agreement","Point of Scale Indicator","char"
"dbo","cmc_coag_agreement","coag_adv_freq_cd","Commission Entity Agreement","Advance Frequency Code","char"
"dbo","cmc_coag_agreement","coag_adv_calc_meth","Commission Entity Agreement","Advance Calculation Method","char"
"dbo","cmc_coag_agreement","coag_adv_mos","Commission Entity Agreement","Advance Months","smallint"
"dbo","cmc_coag_agreement","coag_adv_pct","Commission Entity Agreement","Advance Percent","int"
"dbo","cmc_coag_agreement","coag_adv_recon_cd","Commission Entity Agreement","Advance Reconciliation Code","char"
"dbo","cmc_coag_agreement","coag_lock_token","Commission Entity Agreement","Lock Token","smallint"
"dbo","cmc_coag_agreement","atxr_source_id","Commission Entity Agreement","Attachment Source Id","datetime"
"dbo","cmc_coag_agreement","sys_last_upd_dtm","Commission Entity Agreement","Last Update Datetime","datetime"
"dbo","cmc_coag_agreement","sys_usus_id","Commission Entity Agreement","Last Update User ID","varchar"
"dbo","cmc_coag_agreement","sys_dbuser_id","Commission Entity Agreement","Last Update DBMS User ID","varchar"
