"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cobl_relation","cobl_ck","Commission Arrangement Linking Data","Commission Billing Relation Contrived Key","int"
"dbo","cmc_cobl_relation","coar_id","Commission Arrangement Linking Data","Commission Arrangement ID","char"
"dbo","cmc_cobl_relation","cocp_comm_per","Commission Arrangement Linking Data","Commission Period","smallint"
"dbo","cmc_cobl_relation","coce_id","Commission Arrangement Linking Data","Commission Entity ID","char"
"dbo","cmc_cobl_relation","coag_eff_dt","Commission Arrangement Linking Data","Agreement Effective Date","datetime"
"dbo","cmc_cobl_relation","cosc_calc_meth","Commission Arrangement Linking Data","Schedule Calculation Method","char"
"dbo","cmc_cobl_relation","cobl_basis","Commission Arrangement Linking Data","Basis","money"
"dbo","cmc_cobl_relation","cobl_per_bill_ctr","Commission Arrangement Linking Data","Per Bill Counter","smallint"
"dbo","cmc_cobl_relation","cobl_source_ck","Commission Arrangement Linking Data","Source Contrived Key","bigint"
"dbo","cmc_cobl_relation","cobl_source_cd","Commission Arrangement Linking Data","Source Code","char"
"dbo","cmc_cobl_relation","cobl_source_amt","Commission Arrangement Linking Data","Source Amount","money"
"dbo","cmc_cobl_relation","cobl_sts","Commission Arrangement Linking Data","Status","smallint"
"dbo","cmc_cobl_relation","corq_ck","Commission Arrangement Linking Data","Commission Recalculation Request Contrived Key","int"
"dbo","cmc_cobl_relation","cobl_lock_token","Commission Arrangement Linking Data","Lock Token","smallint"
"dbo","cmc_cobl_relation","atxr_source_id","Commission Arrangement Linking Data","Attachment Source Id","datetime"
