"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cocs_comm_summ","coar_id","Commission Summary Table","Commission Arrangement ID","char"
"dbo","cmc_cocs_comm_summ","cocp_comm_per","Commission Summary Table","Commission Period","smallint"
"dbo","cmc_cocs_comm_summ","coce_id","Commission Summary Table","Commission Entity ID","char"
"dbo","cmc_cocs_comm_summ","coag_eff_dt","Commission Summary Table","Agreement Effective Date","datetime"
"dbo","cmc_cocs_comm_summ","cost_ck","Commission Summary Table","Commission Schedule Tier Contrived Key","int"
"dbo","cmc_cocs_comm_summ","cocs_adv_recon_cd","Commission Summary Table","Advance Reconcile Code","char"
"dbo","cmc_cocs_comm_summ","cocs_recon_ind","Commission Summary Table","Reconciled Indicator","char"
"dbo","cmc_cocs_comm_summ","cocs_cocc_basis","Commission Summary Table","Commission Basis","money"
"dbo","cmc_cocs_comm_summ","cocs_cocc_ovrd_amt","Commission Summary Table","Override Commission Amount","money"
"dbo","cmc_cocs_comm_summ","cocs_coec_ovrd_amt","Commission Summary Table","Earned Override Amount","money"
"dbo","cmc_cocs_comm_summ","cocs_adv_amt_calc","Commission Summary Table","Advance Amount Calculated","money"
"dbo","cmc_cocs_comm_summ","cocs_adv_amt_earn","Commission Summary Table","Advance earned","money"
"dbo","cmc_cocs_comm_summ","cocs_adv_amt_paid","Commission Summary Table","Advance Paid","money"
"dbo","cmc_cocs_comm_summ","cocs_comm_amt_calc","Commission Summary Table","Commission Amount Calculated","money"
"dbo","cmc_cocs_comm_summ","cocs_comm_amt_earn","Commission Summary Table","Commission Amount Earned","money"
"dbo","cmc_cocs_comm_summ","cocs_comm_amt_paid","Commission Summary Table","Commission Paid","money"
"dbo","cmc_cocs_comm_summ","cocs_retn_amt_earn","Commission Summary Table","Net of Commission Amount Earned","money"
"dbo","cmc_cocs_comm_summ","cocs_hld_for_recon","Commission Summary Table","Amount Held for Reconciliation","money"
"dbo","cmc_cocs_comm_summ","cocs_forgo_amt","Commission Summary Table","Forgo Amount","money"
"dbo","cmc_cocs_comm_summ","cocs_pri_basis","Commission Summary Table","Prior Basis","money"
"dbo","cmc_cocs_comm_summ","cocs_pri_comm_calc","Commission Summary Table","Prior Calculated Commission","money"
"dbo","cmc_cocs_comm_summ","cocs_lock_token","Commission Summary Table","Lock Token","smallint"
"dbo","cmc_cocs_comm_summ","atxr_source_id","Commission Summary Table","Attachment Source Id","datetime"
