"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_coec_earn_comm","cobl_ck","Commission Earned Table","Commission Billing Relation  Contrived Key","int"
"dbo","cmc_coec_earn_comm","lobd_id","Commission Earned Table","Line of Business ID","char"
"dbo","cmc_coec_earn_comm","cost_ck","Commission Earned Table","Commission Schedule Tier Contrived Key","int"
"dbo","cmc_coec_earn_comm","coec_seq_no","Commission Earned Table","Data Row Sequence Number","int"
"dbo","cmc_coec_earn_comm","coec_paid_dt","Commission Earned Table","Paid Date","datetime"
"dbo","cmc_coec_earn_comm","coec_source_amt","Commission Earned Table","Source Amount","money"
"dbo","cmc_coec_earn_comm","coec_ovrd_amt","Commission Earned Table","Override Amount","money"
"dbo","cmc_coec_earn_comm","coec_comm_amt_earn","Commission Earned Table","Commission Amount Earned","money"
"dbo","cmc_coec_earn_comm","coec_comm_amt_paid","Commission Earned Table","Commission Amount Paid","money"
"dbo","cmc_coec_earn_comm","coec_adv_amt_earn","Commission Earned Table","Advance Amount Earned","money"
"dbo","cmc_coec_earn_comm","coec_retn_amt_earn","Commission Earned Table","Net of Commission Amount Earned","money"
"dbo","cmc_coec_earn_comm","coec_hld_for_recon","Commission Earned Table","Hold For Reconciliation","money"
"dbo","cmc_coec_earn_comm","coec_forgo_amt","Commission Earned Table","Forgo Amount","money"
"dbo","cmc_coec_earn_comm","coce_id_payee","Commission Earned Table","Commission Entity Payee ID","char"
"dbo","cmc_coec_earn_comm","corq_ck","Commission Earned Table","Commission Recalc Request Contrived Key","int"
"dbo","cmc_coec_earn_comm","coec_fnco_pcs_ind","Commission Earned Table","FNCO Process Indicator","char"
"dbo","cmc_coec_earn_comm","coec_lock_token","Commission Earned Table","Lock Token","smallint"
"dbo","cmc_coec_earn_comm","atxr_source_id","Commission Earned Table","Attachment Source Id","datetime"
