"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_copy_comm_pymt","copy_pay_dt","Commission Entity Payable Table","Commission Pay Date","datetime"
"dbo","cmc_copy_comm_pymt","coce_pay_co_meth","Commission Entity Payable Table","Commission Pay Method","char"
"dbo","cmc_copy_comm_pymt","lobd_id","Commission Entity Payable Table","Line of Business ID","char"
"dbo","cmc_copy_comm_pymt","coce_id_payee","Commission Entity Payable Table","Payee Commission Entity ID","char"
"dbo","cmc_copy_comm_pymt","coce_id","Commission Entity Payable Table","Earned Commission Entity ID","char"
"dbo","cmc_copy_comm_pymt","copy_pay_type","Commission Entity Payable Table","Data row Pay Type","char"
"dbo","cmc_copy_comm_pymt","ckpy_ref_id","Commission Entity Payable Table","Check Payment Reference ID","char"
"dbo","cmc_copy_comm_pymt","lobd_id_comm","Commission Entity Payable Table","Commission Line of Business ID","char"
"dbo","cmc_copy_comm_pymt","copy_net_amt","Commission Entity Payable Table","Payment Amount","money"
"dbo","cmc_copy_comm_pymt","copy_lock_token","Commission Entity Payable Table","Lock Token","smallint"
"dbo","cmc_copy_comm_pymt","atxr_source_id","Commission Entity Payable Table","Attachment Source Id","datetime"
