"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cosh_summ_hist","corq_ck","Commission Summary History","Commission Recalculation Request Contrived Key","int"
"dbo","cmc_cosh_summ_hist","coar_id","Commission Summary History","Arrangement ID","char"
"dbo","cmc_cosh_summ_hist","cocp_comm_per","Commission Summary History","Commission Period","smallint"
"dbo","cmc_cosh_summ_hist","coce_id","Commission Summary History","Commission Entity ID","char"
"dbo","cmc_cosh_summ_hist","coag_eff_dt","Commission Summary History","Agreement Effective Date","datetime"
"dbo","cmc_cosh_summ_hist","cost_ck","Commission Summary History","Commission Schedule Contrived Key","int"
"dbo","cmc_cosh_summ_hist","cosh_adv_recon_cd","Commission Summary History","Advance Reconciliation Code","char"
"dbo","cmc_cosh_summ_hist","cosh_recon_ind","Commission Summary History","Reconciliation Indicator","char"
"dbo","cmc_cosh_summ_hist","cosh_cocc_basis","Commission Summary History","Commission Basis","money"
"dbo","cmc_cosh_summ_hist","cosh_cocc_ovrd_amt","Commission Summary History","Override Amount","money"
"dbo","cmc_cosh_summ_hist","cosh_coec_ovrd_amt","Commission Summary History","Earned Override Amount","money"
"dbo","cmc_cosh_summ_hist","cosh_adv_amt_calc","Commission Summary History","Advance Amount Calculated","money"
"dbo","cmc_cosh_summ_hist","cosh_adv_amt_earn","Commission Summary History","Advance Amount Earned","money"
"dbo","cmc_cosh_summ_hist","cosh_adv_amt_paid","Commission Summary History","Advance Amount Paid","money"
"dbo","cmc_cosh_summ_hist","cosh_comm_amt_calc","Commission Summary History","Commission Amount Calculated","money"
"dbo","cmc_cosh_summ_hist","cosh_comm_amt_earn","Commission Summary History","Commission Amount Earned","money"
"dbo","cmc_cosh_summ_hist","cosh_comm_amt_paid","Commission Summary History","Commission Amount Paid","money"
"dbo","cmc_cosh_summ_hist","cosh_retn_amt_earn","Commission Summary History","Retention Amount Earned","money"
"dbo","cmc_cosh_summ_hist","cosh_hld_for_recon","Commission Summary History","Hold For Reconciliation","money"
"dbo","cmc_cosh_summ_hist","cosh_forgo_amt","Commission Summary History","Forgo Amount","money"
"dbo","cmc_cosh_summ_hist","cosh_pri_basis","Commission Summary History","Prior Basis","money"
"dbo","cmc_cosh_summ_hist","cosh_pri_comm_calc","Commission Summary History","Prior Commission Calculated","money"
"dbo","cmc_cosh_summ_hist","cosh_lock_token","Commission Summary History","Lock Token","smallint"
"dbo","cmc_cosh_summ_hist","atxr_source_id","Commission Summary History","Attachment Source Id","datetime"
