"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crfr_fund_rate","crfs_schd_id","Schedule of Rates at Fund Level","Capitation Schedule ID","char"
"dbo","cmc_crfr_fund_rate","crfd_fund_id","Schedule of Rates at Fund Level","Fund ID","char"
"dbo","cmc_crfr_fund_rate","crfr_modifier","Schedule of Rates at Fund Level","Capitation Modifier","char"
"dbo","cmc_crfr_fund_rate","crfr_eff_dt","Schedule of Rates at Fund Level","Effective Date","datetime"
"dbo","cmc_crfr_fund_rate","crfr_gender","Schedule of Rates at Fund Level","Gender","char"
"dbo","cmc_crfr_fund_rate","crfr_rel","Schedule of Rates at Fund Level","Relationship","char"
"dbo","cmc_crfr_fund_rate","crfr_age_from","Schedule of Rates at Fund Level","Age From","smallint"
"dbo","cmc_crfr_fund_rate","crfr_age_thru","Schedule of Rates at Fund Level","Age Thru","smallint"
"dbo","cmc_crfr_fund_rate","crfr_fund_rate","Schedule of Rates at Fund Level","Fund Rate","money"
"dbo","cmc_crfr_fund_rate","crfr_fund_pct","Schedule of Rates at Fund Level","Fund Percent","int"
"dbo","cmc_crfr_fund_rate","crfr_lock_token","Schedule of Rates at Fund Level","Lock Token","smallint"
"dbo","cmc_crfr_fund_rate","atxr_source_id","Schedule of Rates at Fund Level","Attachment Source Id","datetime"
