"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crmm_rule","crmm_min_max_id","Capitation Average Member Capitation Minimum/Maximum Rules","Minimum/Maximum Threshold Rule ID","char"
"dbo","cmc_crmm_rule","crmm_eff_dt","Capitation Average Member Capitation Minimum/Maximum Rules","Effective Date","datetime"
"dbo","cmc_crmm_rule","crmm_id_desc","Capitation Average Member Capitation Minimum/Maximum Rules","Rule description","varchar"
"dbo","cmc_crmm_rule","crmm_term_dt","Capitation Average Member Capitation Minimum/Maximum Rules","Termination Date","datetime"
"dbo","cmc_crmm_rule","crmm_min_amt","Capitation Average Member Capitation Minimum/Maximum Rules","Minimum Average Member Amount","money"
"dbo","cmc_crmm_rule","crmm_max_amt","Capitation Average Member Capitation Minimum/Maximum Rules","Maximum Average Member Amount","money"
"dbo","cmc_crmm_rule","crmm_calc_stop_dt","Capitation Average Member Capitation Minimum/Maximum Rules","Rule Stop Date","datetime"
"dbo","cmc_crmm_rule","crmm_fund_id","Capitation Average Member Capitation Minimum/Maximum Rules","Adjustment Fund ID","char"
"dbo","cmc_crmm_rule","crmm_lobd_id","Capitation Average Member Capitation Minimum/Maximum Rules","Adjustment Line of Business","char"
"dbo","cmc_crmm_rule","crca_mctr_arsn","Capitation Average Member Capitation Minimum/Maximum Rules","Adjust Reason Code","char"
"dbo","cmc_crmm_rule","crmm_lock_token","Capitation Average Member Capitation Minimum/Maximum Rules","Lock Token","smallint"
"dbo","cmc_crmm_rule","atxr_source_id","Capitation Average Member Capitation Minimum/Maximum Rules","Attachment Source Id","datetime"
"dbo","cmc_crmm_rule","sys_last_upd_dtm","Capitation Average Member Capitation Minimum/Maximum Rules","Last Update Datetime","datetime"
"dbo","cmc_crmm_rule","sys_usus_id","Capitation Average Member Capitation Minimum/Maximum Rules","Last Update User ID","varchar"
"dbo","cmc_crmm_rule","sys_dbuser_id","Capitation Average Member Capitation Minimum/Maximum Rules","Last Update DBMS User ID","varchar"
