"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crmt_cycle_amt","crmt_payee_pr_id","Capitation Minimum/Maximum Cycle Calculations","Payee Provider ID","char"
"dbo","cmc_crmt_cycle_amt","crmt_pay_from_dt","Capitation Minimum/Maximum Cycle Calculations","Pay From Date","datetime"
"dbo","cmc_crmt_cycle_amt","crmt_earn_from_dt","Capitation Minimum/Maximum Cycle Calculations","Pay Earn Date","datetime"
"dbo","cmc_crmt_cycle_amt","crmm_min_max_id","Capitation Minimum/Maximum Cycle Calculations","Min/Max Rule ID","char"
"dbo","cmc_crmt_cycle_amt","crmt_pymt_amt","Capitation Minimum/Maximum Cycle Calculations","Total Payment Amount","money"
"dbo","cmc_crmt_cycle_amt","crmt_mem_mos","Capitation Minimum/Maximum Cycle Calculations","Member Months","money"
"dbo","cmc_crmt_cycle_amt","crmt_amc_amt","Capitation Minimum/Maximum Cycle Calculations","Average Member Capitation","money"
"dbo","cmc_crmt_cycle_amt","crmm_min_amt","Capitation Minimum/Maximum Cycle Calculations","Minimum Amount","money"
"dbo","cmc_crmt_cycle_amt","crmm_max_amt","Capitation Minimum/Maximum Cycle Calculations","Maximum Amount","money"
"dbo","cmc_crmt_cycle_amt","crmt_cur_ofset_amt","Capitation Minimum/Maximum Cycle Calculations","Current Calculated Offset Amount","money"
"dbo","cmc_crmt_cycle_amt","crmt_prv_ofset_amt","Capitation Minimum/Maximum Cycle Calculations","Previous Calculated Offset Amount","money"
"dbo","cmc_crmt_cycle_amt","crmt_net_ofset_amt","Capitation Minimum/Maximum Cycle Calculations","Net calculated threshold offset amount","money"
"dbo","cmc_crmt_cycle_amt","crca_seq_dtm","Capitation Minimum/Maximum Cycle Calculations","Sequence Date Time","datetime"
"dbo","cmc_crmt_cycle_amt","crmt_lock_token","Capitation Minimum/Maximum Cycle Calculations","Lock Token","smallint"
"dbo","cmc_crmt_cycle_amt","atxr_source_id","Capitation Minimum/Maximum Cycle Calculations","Attachment Source Id","datetime"
"dbo","cmc_crmt_cycle_amt","sys_last_upd_dtm","Capitation Minimum/Maximum Cycle Calculations","Last Update Datetime","datetime"
"dbo","cmc_crmt_cycle_amt","sys_usus_id","Capitation Minimum/Maximum Cycle Calculations","Last Update User ID","varchar"
"dbo","cmc_crmt_cycle_amt","sys_dbuser_id","Capitation Minimum/Maximum Cycle Calculations","Last Update DBMS User ID","varchar"
