"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_crv0_temp_nwst","pdbc_pfx","Temp Storage table","Billing Component Prefix","char"
"dbo","cmc_crv0_temp_nwst","nwst_eff_dt","Temp Storage table","Network Set Effective Date","datetime"
"dbo","cmc_crv0_temp_nwst","nwst_seq_no","Temp Storage table","Network Set Sequence Number","smallint"
"dbo","cmc_crv0_temp_nwst","nwst_term_dt","Temp Storage table","Network Set Termination Date","datetime"
"dbo","cmc_crv0_temp_nwst","cap_type","Temp Storage table","","char"
"dbo","cmc_crv0_temp_nwst","nwnw_id","Temp Storage table","Provider Network Identifier","char"
"dbo","cmc_crv0_temp_nwst","nwpe_pfx","Temp Storage table","Network Provider Entity Relationship Prefix","char"
"dbo","cmc_crv0_temp_nwst","nwcr_pfx","Temp Storage table","Provider Network Capitation Relationship Prefix","char"
"dbo","cmc_crv0_temp_nwst","nwpe_nwcr_pfx","Temp Storage table","","char"
"dbo","cmc_crv0_temp_nwst","nwst_nwcr_ind","Temp Storage table","Network Capitation Indicator","char"
