"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_cxcv_cl_view","cxcv_pfx","Claim View Master Table","Prefix","char"
"dbo","cmc_cxcv_cl_view","cxcv_cat","Claim View Master Table","Category","char"
"dbo","cmc_cxcv_cl_view","cxcv_handle","Claim View Master Table","Handle","int"
"dbo","cmc_cxcv_cl_view","cxcv_order","Claim View Master Table","Order","int"
"dbo","cmc_cxcv_cl_view","cxcv_parent","Claim View Master Table","Parent","int"
"dbo","cmc_cxcv_cl_view","cxcv_data1","Claim View Master Table","Data 1","varchar"
"dbo","cmc_cxcv_cl_view","cxcv_data2","Claim View Master Table","Data 2","varchar"
"dbo","cmc_cxcv_cl_view","cxcv_data3","Claim View Master Table","Data 3","varchar"
"dbo","cmc_cxcv_cl_view","cxcv_lock_token","Claim View Master Table","Lock Token","smallint"
"dbo","cmc_cxcv_cl_view","atxr_source_id","Claim View Master Table","Attachment Source Id","datetime"
