"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_dcxt_ext_accum","dcti_id","Debit Card External Accumulator","Identifier","numeric"
"dbo","cmc_dcxt_ext_accum","sbsb_ck","Debit Card External Accumulator","Subscriber Contrived Key","int"
"dbo","cmc_dcxt_ext_accum","meme_ck","Debit Card External Accumulator","Member Contrived Key","int"
"dbo","cmc_dcxt_ext_accum","dcxt_trans_type","Debit Card External Accumulator","Transaction Type","char"
"dbo","cmc_dcxt_ext_accum","dcxt_plan_yr_dt","Debit Card External Accumulator","Plan Year Date","datetime"
"dbo","cmc_dcxt_ext_accum","hsai_acc_sfx","Debit Card External Accumulator","HSAI Accumulator Suffix","char"
"dbo","cmc_dcxt_ext_accum","sbfs_fsa_type","Debit Card External Accumulator","FSA Type","char"
"dbo","cmc_dcxt_ext_accum","cspd_cat","Debit Card External Accumulator","Category","char"
"dbo","cmc_dcxt_ext_accum","grdc_pfx","Debit Card External Accumulator","Group Debit Card Relationship Prefix","char"
"dbo","cmc_dcxt_ext_accum","dcti_from_dt","Debit Card External Accumulator","From Date","datetime"
"dbo","cmc_dcxt_ext_accum","dcti_debt_card_no","Debit Card External Accumulator","Debit Card Number","varchar"
"dbo","cmc_dcxt_ext_accum","dcti_trns_dtm","Debit Card External Accumulator","Transaction Date Time","datetime"
"dbo","cmc_dcxt_ext_accum","dcti_trns_amt","Debit Card External Accumulator","Transaction Amount","money"
"dbo","cmc_dcxt_ext_accum","dcti_settle_dt","Debit Card External Accumulator","Settlement Date","datetime"
"dbo","cmc_dcxt_ext_accum","dcti_seq_no","Debit Card External Accumulator","Settlement Sequence Number","int"
"dbo","cmc_dcxt_ext_accum","dcti_merch_type_cd","Debit Card External Accumulator","Merchant Type Code","char"
"dbo","cmc_dcxt_ext_accum","dcti_merch_name","Debit Card External Accumulator","Merchant Name","varchar"
"dbo","cmc_dcxt_ext_accum","dcti_adj_trns_sts","Debit Card External Accumulator","Adjustment Transaction Status","varchar"
"dbo","cmc_dcxt_ext_accum","dcxt_ind_cur_bal","Debit Card External Accumulator","Individual Current Balance","money"
"dbo","cmc_dcxt_ext_accum","dcxt_fam_cur_bal","Debit Card External Accumulator","Family Current Balance","money"
"dbo","cmc_dcxt_ext_accum","dcxt_create_dtm","Debit Card External Accumulator","Create Date Time","datetime"
"dbo","cmc_dcxt_ext_accum","dcxt_addl_data","Debit Card External Accumulator","Additional Data","varchar"
"dbo","cmc_dcxt_ext_accum","dcxt_lock_token","Debit Card External Accumulator","Lock Token","smallint"
"dbo","cmc_dcxt_ext_accum","atxr_source_id","Debit Card External Accumulator","Attachment Source Id","datetime"
