"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_dece_criteria","pdbc_pfx","Dental Clinical Editing Criteria table","Dental Clinical Editing Criteria Prefix","char"
"dbo","cmc_dece_criteria","dpdp_id","Dental Clinical Editing Criteria table","Dental Clinical Editing Criteria Procedure Code","char"
"dbo","cmc_dece_criteria","dece_eff_dt","Dental Clinical Editing Criteria table","Dental Clinical Editing Criteria Effective Date","datetime"
"dbo","cmc_dece_criteria","dece_term_dt","Dental Clinical Editing Criteria table","Dental Clinical Editing Criteria Termination Date","datetime"
"dbo","cmc_dece_criteria","dece_invest_ind","Dental Clinical Editing Criteria table","Dental Clinical Editing Criteria Investigative Indicator","char"
"dbo","cmc_dece_criteria","dece_cos_ind","Dental Clinical Editing Criteria table","Dental Clinical Editing Criteria Cosmetic Indicator","char"
"dbo","cmc_dece_criteria","dece_out_ind","Dental Clinical Editing Criteria table","Dental Clinical Editing Criteria Outdated Indicator","char"
"dbo","cmc_dece_criteria","dece_inv_ind","Dental Clinical Editing Criteria table","Dental Clinical Editing Criteria Invalid Indicator","char"
"dbo","cmc_dece_criteria","dece_info_code","Dental Clinical Editing Criteria table","Dental Clinical Editing Information Message Code","char"
"dbo","cmc_dece_criteria","dece_iss_code","Dental Clinical Editing Criteria table","Dental Clinical Editing Issue Message Code","char"
"dbo","cmc_dece_criteria","dece_rev_code","Dental Clinical Editing Criteria table","Dental Clinical Editing Review Message Code","char"
"dbo","cmc_dece_criteria","wmds_seq_no","Dental Clinical Editing Criteria table","Dental Clinical Editing Criteria User Warning Message","smallint"
"dbo","cmc_dece_criteria","dece_lock_token","Dental Clinical Editing Criteria table","Lock Token","smallint"
"dbo","cmc_dece_criteria","atxr_source_id","Dental Clinical Editing Criteria table","Attachment Source Id","datetime"
