"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_dnar_den_info","pdbc_pfx","Dental Administrative Rules Table","Dental Administrative Rules Prefix","char"
"dbo","cmc_dnar_den_info","dnar_price_ind","Dental Administrative Rules Table","N/A","char"
"dbo","cmc_dnar_den_info","dnar_reqst_pr_req","Dental Administrative Rules Table","N/A","char"
"dbo","cmc_dnar_den_info","dnar_svc_pr_req","Dental Administrative Rules Table","N/A","char"
"dbo","cmc_dnar_den_info","dnar_disp_pr_warn","Dental Administrative Rules Table","N/A","char"
"dbo","cmc_dnar_den_info","dnar_rep_or_mnths","Dental Administrative Rules Table","Dental Administrative Rules Orthodontic Installment Counter","smallint"
"dbo","cmc_dnar_den_info","dnar_pre_d_wrn_amt","Dental Administrative Rules Table","Dental Administrative Rules Pre-Determination Warning Amount","money"
"dbo","cmc_dnar_den_info","dnar_prim_dx_ind","Dental Administrative Rules Table","N/A","char"
"dbo","cmc_dnar_den_info","dnar_pd_exp_type","Dental Administrative Rules Table","Dental Administrative Rules Pre-Determination Expiration Type","char"
"dbo","cmc_dnar_den_info","dnar_pd_exp_per","Dental Administrative Rules Table","Dental Administrative Rules Pre-Determination Expiration Period","smallint"
"dbo","cmc_dnar_den_info","dnar_pd_exp_ind","Dental Administrative Rules Table","Dental Administrative Rules Pre-Determination Expiration Value","char"
"dbo","cmc_dnar_den_info","dnar_ref_val_days","Dental Administrative Rules Table","N/A","smallint"
"dbo","cmc_dnar_den_info","dnar_purg_per","Dental Administrative Rules Table","N/A","smallint"
"dbo","cmc_dnar_den_info","dnar_lock_token","Dental Administrative Rules Table","Lock Token","smallint"
"dbo","cmc_dnar_den_info","atxr_source_id","Dental Administrative Rules Table","Attachment Source Id","datetime"
