"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_dpdf_dp_defn","pdbc_pfx","Dental Procedure Code Definition Table","Dental Procedure Definition Benefit Component Prefix","char"
"dbo","cmc_dpdf_dp_defn","dpdf_dp_id_low","Dental Procedure Code Definition Table","Dental Procedure Definition Low Procedure Code","char"
"dbo","cmc_dpdf_dp_defn","dpdf_dp_id_high","Dental Procedure Code Definition Table","Dental Procedure Definition High Procedure Code","char"
"dbo","cmc_dpdf_dp_defn","dppc_price_id","Dental Procedure Code Definition Table","Dental Procedure Definition Pricing ID","char"
"dbo","cmc_dpdf_dp_defn","dpdf_um_ind","Dental Procedure Code Definition Table","Dental Procedure Definition Pre-Determination Requirement Indicator","char"
"dbo","cmc_dpdf_dp_defn","dpdf_um_mat_ind","Dental Procedure Code Definition Table","N/A","char"
"dbo","cmc_dpdf_dp_defn","dpdf_rwh_ind","Dental Procedure Code Definition Table","Dental Procedure Definition Risk Withhold Indicator","char"
"dbo","cmc_dpdf_dp_defn","dpdf_cap_ind","Dental Procedure Code Definition Table","Dental Procedure Definition Capitated Procedures Indicator","char"
"dbo","cmc_dpdf_dp_defn","dpdf_opts","Dental Procedure Code Definition Table","Dental Procedure Definition Options","char"
"dbo","cmc_dpdf_dp_defn","dpdf_lock_token","Dental Procedure Code Definition Table","Lock Token","smallint"
"dbo","cmc_dpdf_dp_defn","atxr_source_id","Dental Procedure Code Definition Table","Attachment Source Id","datetime"
