"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_duvn_dup_rules","pdbc_pfx","Vision Duplicate Claim Rules","Prefix","char"
"dbo","cmc_duvn_dup_rules","duvn_seq_no","Vision Duplicate Claim Rules","Sequence Number","smallint"
"dbo","cmc_duvn_dup_rules","duvn_desc","Vision Duplicate Claim Rules","Description","varchar"
"dbo","cmc_duvn_dup_rules","duvn_exact_day_ind","Vision Duplicate Claim Rules","Exact Date Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_tos_ind","Vision Duplicate Claim Rules","Type of Service Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_ip_ind","Vision Duplicate Claim Rules","Procedure Code Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_svc_prov_ind","Vision Duplicate Claim Rules","Service Provider Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_chg_ind","Vision Duplicate Claim Rules","Exact Charge Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_dx_ind","Vision Duplicate Claim Rules","Diagnosis Code Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_units_ind","Vision Duplicate Claim Rules","Submitted Units Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_bypass_ind","Vision Duplicate Claim Rules","Bypass Zero Match Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_inc_pend_ind","Vision Duplicate Claim Rules","Include Pended Claims Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_action_ind","Vision Duplicate Claim Rules","Matched Criteria Action Indicator","char"
"dbo","cmc_duvn_dup_rules","duvn_data_lvl","Vision Duplicate Claim Rules","Data Level Indicator","char"
"dbo","cmc_duvn_dup_rules","excd_id","Vision Duplicate Claim Rules","Disallow Explanation Code","char"
"dbo","cmc_duvn_dup_rules","duvn_lock_token","Vision Duplicate Claim Rules","Lock Token","smallint"
"dbo","cmc_duvn_dup_rules","atxr_source_id","Vision Duplicate Claim Rules","Attachment Source Id","datetime"
"dbo","cmc_duvn_dup_rules","sys_last_upd_dtm","Vision Duplicate Claim Rules","Last Update Datetime","datetime"
"dbo","cmc_duvn_dup_rules","sys_usus_id","Vision Duplicate Claim Rules","Last Update User ID","varchar"
"dbo","cmc_duvn_dup_rules","sys_dbuser_id","Vision Duplicate Claim Rules","Last Update DBMS User ID","varchar"
