"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_ecpr_exp_prepro","ecpr_row_id","TPA Subscriber Census Count Preprocessor","Subscriber Row ID","numeric"
"dbo","cmc_ecpr_exp_prepro","tpcn_row_id","TPA Subscriber Census Count Preprocessor","Group Row Id","numeric"
"dbo","cmc_ecpr_exp_prepro","grgr_ck","TPA Subscriber Census Count Preprocessor","Group Contrived Key","int"
"dbo","cmc_ecpr_exp_prepro","sbsb_ck","TPA Subscriber Census Count Preprocessor","Subscriber Contrived Key","int"
"dbo","cmc_ecpr_exp_prepro","ecpr_weight","TPA Subscriber Census Count Preprocessor","Weight","int"
"dbo","cmc_ecpr_exp_prepro","ecpr_sts","TPA Subscriber Census Count Preprocessor","Status","smallint"
"dbo","cmc_ecpr_exp_prepro","ecpr_count_1","TPA Subscriber Census Count Preprocessor","Count 1 lives","int"
"dbo","cmc_ecpr_exp_prepro","ecpr_count_2","TPA Subscriber Census Count Preprocessor","Count 2 lives","int"
"dbo","cmc_ecpr_exp_prepro","ecpr_count_3","TPA Subscriber Census Count Preprocessor","Count 3 lives","int"
"dbo","cmc_ecpr_exp_prepro","ecpr_count_4","TPA Subscriber Census Count Preprocessor","Count 4 lives","int"
"dbo","cmc_ecpr_exp_prepro","ecpr_count_5","TPA Subscriber Census Count Preprocessor","Count 5 lives","int"
"dbo","cmc_ecpr_exp_prepro","ecpr_count_6","TPA Subscriber Census Count Preprocessor","Count 6 lives","int"
"dbo","cmc_ecpr_exp_prepro","ecpr_lock_token","TPA Subscriber Census Count Preprocessor","Lock Token","smallint"
"dbo","cmc_ecpr_exp_prepro","atxr_source_id","TPA Subscriber Census Count Preprocessor","Attachment Source ID","datetime"
