"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_evdf_event_def","evdf_event_typ_cd","Event Definition","Event Type code","varchar"
"dbo","cmc_evdf_event_def","evdf_desc","Event Definition","Event Type Description","varchar"
"dbo","cmc_evdf_event_def","evdf_trgr_ind","Event Definition","Trigger Indicator","char"
"dbo","cmc_evdf_event_def","evdf_prcs_ind","Event Definition","Process Event","char"
"dbo","cmc_evdf_event_def","evdf_adjust_type","Event Definition","Adjustment Type","char"
"dbo","cmc_evdf_event_def","evdf_dflt_sts","Event Definition","Event Status","char"
"dbo","cmc_evdf_event_def","evdf_retro_mos","Event Definition","Retroactive months","smallint"
"dbo","cmc_evdf_event_def","evdf_sp_name","Event Definition","Stored Procedure Name","varchar"
"dbo","cmc_evdf_event_def","evdf_lock_token","Event Definition","Lock Token","smallint"
"dbo","cmc_evdf_event_def","atxr_source_id","Event Definition","Attachment Source Id","datetime"
"dbo","cmc_evdf_event_def","sys_last_upd_dtm","Event Definition","Last Update Datetime","datetime"
"dbo","cmc_evdf_event_def","sys_usus_id","Event Definition","Last Update User ID","varchar"
"dbo","cmc_evdf_event_def","sys_dbuser_id","Event Definition","Last Update DBMS User ID","varchar"
