"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_grlc_mlr_count","grgr_ck","Group Medical Loss Ratio Counts","Group Contrived Key","int"
"dbo","cmc_grlc_mlr_count","grlr_eff_dt","Group Medical Loss Ratio Counts","Effective Date","datetime"
"dbo","cmc_grlc_mlr_count","grlc_seq_no","Group Medical Loss Ratio Counts","Sequence Number","smallint"
"dbo","cmc_grlc_mlr_count","grlc_eff_dt","Group Medical Loss Ratio Counts","Count Effective Date","datetime"
"dbo","cmc_grlc_mlr_count","grlc_term_dt","Group Medical Loss Ratio Counts","Count Termination Date","datetime"
"dbo","cmc_grlc_mlr_count","sgsg_ck","Group Medical Loss Ratio Counts","Subgroup Contrived Key","int"
"dbo","cmc_grlc_mlr_count","cspi_id","Group Medical Loss Ratio Counts","Plan ID","char"
"dbo","cmc_grlc_mlr_count","grlc_total_elig","Group Medical Loss Ratio Counts","Eligible Employee Count","int"
"dbo","cmc_grlc_mlr_count","grlc_total_empl","Group Medical Loss Ratio Counts","Total Employee Count","int"
"dbo","cmc_grlc_mlr_count","grlc_mctr_affl","Group Medical Loss Ratio Counts","Affiliated Insurers","char"
"dbo","cmc_grlc_mlr_count","grlc_lock_token","Group Medical Loss Ratio Counts","Lock Token","smallint"
"dbo","cmc_grlc_mlr_count","atxr_source_id","Group Medical Loss Ratio Counts","Attachment Source Id","datetime"
"dbo","cmc_grlc_mlr_count","sys_last_upd_dtm","Group Medical Loss Ratio Counts","Last Update Datetime","datetime"
"dbo","cmc_grlc_mlr_count","sys_usus_id","Group Medical Loss Ratio Counts","Last Update User ID","varchar"
"dbo","cmc_grlc_mlr_count","sys_dbuser_id","Group Medical Loss Ratio Counts","Last Update DBMS User ID","varchar"
