"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_gzcd_glob_zip","mccy_ctry_cd","Global Zip Code Definition Table","Country Code","char"
"dbo","cmc_gzcd_glob_zip","gzcd_zip","Global Zip Code Definition Table","Zip Code","varchar"
"dbo","cmc_gzcd_glob_zip","gzcd_zip_plus_low","Global Zip Code Definition Table","Zip Plus 4 Low","char"
"dbo","cmc_gzcd_glob_zip","gzcd_eff_dt","Global Zip Code Definition Table","Effective Date","datetime"
"dbo","cmc_gzcd_glob_zip","gzcd_term_dt","Global Zip Code Definition Table","Termination Date","datetime"
"dbo","cmc_gzcd_glob_zip","gzcd_zip_plus_high","Global Zip Code Definition Table","Zip Plus 4 High","char"
"dbo","cmc_gzcd_glob_zip","gzcd_desc","Global Zip Code Definition Table","Description","varchar"
"dbo","cmc_gzcd_glob_zip","gzcd_county","Global Zip Code Definition Table","County","varchar"
"dbo","cmc_gzcd_glob_zip","gzcd_mctr_type","Global Zip Code Definition Table","Type","char"
"dbo","cmc_gzcd_glob_zip","gzcd_lock_token","Global Zip Code Definition Table","Lock Token","smallint"
"dbo","cmc_gzcd_glob_zip","atxr_source_id","Global Zip Code Definition Table","Attachment Source Id","datetime"
"dbo","cmc_gzcd_glob_zip","sys_last_upd_dtm","Global Zip Code Definition Table","Last Update Datetime","datetime"
"dbo","cmc_gzcd_glob_zip","sys_usus_id","Global Zip Code Definition Table","Last Update User ID","varchar"
"dbo","cmc_gzcd_glob_zip","sys_dbuser_id","Global Zip Code Definition Table","Last Update DBMS User ID","varchar"
