"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_hsal_hsa_alloc","hsal_pfx","HRA Allocation Table","HRA Allocation Table Prefix","char"
"dbo","cmc_hsal_hsa_alloc","hsal_eff_dt","HRA Allocation Table","HRA Allocation Table Effective Date","datetime"
"dbo","cmc_hsal_hsa_alloc","hsal_term_dt","HRA Allocation Table","HRA Allocation Table Termination Date","datetime"
"dbo","cmc_hsal_hsa_alloc","hsal_col_struct","HRA Allocation Table","HRA Allocation Table Column Structure","char"
"dbo","cmc_hsal_hsa_alloc","hsal_co_calc_ind","HRA Allocation Table","HRA Allocation Table Carryover Calculation Method","char"
"dbo","cmc_hsal_hsa_alloc","hsal_alloc_amt1","HRA Allocation Table","HRA Allocation Table Amount 1","money"
"dbo","cmc_hsal_hsa_alloc","hsal_alloc_amt2","HRA Allocation Table","HRA Allocation Table Amount 2","money"
"dbo","cmc_hsal_hsa_alloc","hsal_alloc_amt3","HRA Allocation Table","HRA Allocation Table Amount 3","money"
"dbo","cmc_hsal_hsa_alloc","hsal_alloc_amt4","HRA Allocation Table","HRA Allocation Table Amount 4","money"
"dbo","cmc_hsal_hsa_alloc","hsal_max_co_amt1","HRA Allocation Table","HRA Allocation Table Maximum Carryover Amount 1","money"
"dbo","cmc_hsal_hsa_alloc","hsal_max_co_amt2","HRA Allocation Table","HRA Allocation Table Maximum Carryover Amount 2","money"
"dbo","cmc_hsal_hsa_alloc","hsal_max_co_amt3","HRA Allocation Table","HRA Allocation Table Maximum Carryover Amount 3","money"
"dbo","cmc_hsal_hsa_alloc","hsal_max_co_amt4","HRA Allocation Table","HRA Allocation Table Maximum Carryover Amount 4","money"
"dbo","cmc_hsal_hsa_alloc","hsal_ded_amt1","HRA Allocation Table","HRA Allocation Table Deductible Amount 1","money"
"dbo","cmc_hsal_hsa_alloc","hsal_ded_amt2","HRA Allocation Table","HRA Allocation Table Deductible Amount 2","money"
"dbo","cmc_hsal_hsa_alloc","hsal_ded_amt3","HRA Allocation Table","HRA Allocation Table Deductible Amount 3","money"
"dbo","cmc_hsal_hsa_alloc","hsal_ded_amt4","HRA Allocation Table","HRA Allocation Table Deductible Amount 4","money"
"dbo","cmc_hsal_hsa_alloc","hsal_me_alloc_amt","HRA Allocation Table","HRA Allocation Table Maximum Member Allocation","money"
"dbo","cmc_hsal_hsa_alloc","hsal_me_max_co_amt","HRA Allocation Table","HRA Allocation Table Maximum Member Carryover Amount","money"
"dbo","cmc_hsal_hsa_alloc","hsal_me_ded_amt","HRA Allocation Table","HRA Allocation Table Maximum Member Deductible","money"
"dbo","cmc_hsal_hsa_alloc","hsal_ded2_amt1","HRA Allocation Table","HRA Allocation Table Deductible 2 Amount 1","money"
"dbo","cmc_hsal_hsa_alloc","hsal_ded2_amt2","HRA Allocation Table","HRA Allocation Rules Deductible 2 Amount 2","money"
"dbo","cmc_hsal_hsa_alloc","hsal_ded2_amt3","HRA Allocation Table","HRA Allocation Rules Deductible 2 Amount 3","money"
"dbo","cmc_hsal_hsa_alloc","hsal_ded2_amt4","HRA Allocation Table","HRA Allocation Rules Deductible 2 Amount 4","money"
"dbo","cmc_hsal_hsa_alloc","hsal_me_ded2_amt","HRA Allocation Table","HRA Allocation Rules Maximum Member Deductible 2","money"
"dbo","cmc_hsal_hsa_alloc","hsal_ded_ind","HRA Allocation Table","HRA Allocation Rules Deductible 1 Indicator","char"
"dbo","cmc_hsal_hsa_alloc","hsal_ded2_ind","HRA Allocation Table","HRA Allocation Rules Deductible 2 Indicator","char"
"dbo","cmc_hsal_hsa_alloc","hsal_me_dcat_ind","HRA Allocation Table","HSAL Member DCAT Indicator","char"
"dbo","cmc_hsal_hsa_alloc","hsal_non_ann_mode","HRA Allocation Table","HRA Allocation Rules Non Anniversary Allocation Mode","char"
"dbo","cmc_hsal_hsa_alloc","hsal_non_ann_meth","HRA Allocation Table","HRA Allocation Rules Non Anniversary Allocation Method","char"
"dbo","cmc_hsal_hsa_alloc","hsal_float_days","HRA Allocation Table","HRA Allocation Rules Non Anniversary Float Days","smallint"
"dbo","cmc_hsal_hsa_alloc","hsal_fam_stat_ind","HRA Allocation Table","HRA Allocation Rules Family Status Change Allocation Indicator","char"
"dbo","cmc_hsal_hsa_alloc","hsal_me_alloc_ind","HRA Allocation Table","HRA Allocation Rules Member Level Allocation Indicator","char"
"dbo","cmc_hsal_hsa_alloc","hsal_co_pct","HRA Allocation Table","HRA Allocation Rules Carryover Percent","money"
"dbo","cmc_hsal_hsa_alloc","hsal_non_ann_pro","HRA Allocation Table","Non-Anniversary Prorate","char"
"dbo","cmc_hsal_hsa_alloc","hsal_red_alloc_ind","HRA Allocation Table","Reduction in Allocation Indicator","char"
"dbo","cmc_hsal_hsa_alloc","hsal_lock_token","HRA Allocation Table","Lock Token","smallint"
"dbo","cmc_hsal_hsa_alloc","atxr_source_id","HRA Allocation Table","Attachment Source Id","datetime"
