"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_idma_med_adm","pdbc_pfx","Medical Admission Criteria Table","Medical Admission Criteria Benefit Component Prefix","char"
"dbo","cmc_idma_med_adm","idcd_id","Medical Admission Criteria Table","Diagnosis Code","varchar"
"dbo","cmc_idma_med_adm","idcd_type","Medical Admission Criteria Table","ICD Version","char"
"dbo","cmc_idma_med_adm","idma_eff_dt","Medical Admission Criteria Table","Medical Admission Criteria Effective Date","datetime"
"dbo","cmc_idma_med_adm","idma_term_dt","Medical Admission Criteria Table","Medical Admission Criteria Termination Date","datetime"
"dbo","cmc_idma_med_adm","idma_opts","Medical Admission Criteria Table","Medical Admission Criteria Options","char"
"dbo","cmc_idma_med_adm","idma_concur_day","Medical Admission Criteria Table","Concurrent Review Cycle Days","smallint"
"dbo","cmc_idma_med_adm","idma_dschg_day","Medical Admission Criteria Table","Discharge Review Cycle","smallint"
"dbo","cmc_idma_med_adm","idma_hhc_ind","Medical Admission Criteria Table","Home Health Care Indicator","char"
"dbo","cmc_idma_med_adm","crcd_cls","Medical Admission Criteria Table","Classification Code","char"
"dbo","cmc_idma_med_adm","idma_lock_token","Medical Admission Criteria Table","Lock Token","smallint"
"dbo","cmc_idma_med_adm","atxr_source_id","Medical Admission Criteria Table","Attachment Source Id","datetime"
