"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_iprp_rep_proc","ipcd_id","Encounter Procedure Replacement Table","Procedure","char"
"dbo","cmc_iprp_rep_proc","iprp_eff_dt","Encounter Procedure Replacement Table","Effective Date","datetime"
"dbo","cmc_iprp_rep_proc","iprp_seq_no","Encounter Procedure Replacement Table","Sequence Number","smallint"
"dbo","cmc_iprp_rep_proc","iprp_term_dt","Encounter Procedure Replacement Table","Termination Date","datetime"
"dbo","cmc_iprp_rep_proc","prpr_mctr_type","Encounter Procedure Replacement Table","Provider Type","char"
"dbo","cmc_iprp_rep_proc","iprp_meme_age_from","Encounter Procedure Replacement Table","Low Age","smallint"
"dbo","cmc_iprp_rep_proc","iprp_meme_sex","Encounter Procedure Replacement Table","Member Gender","char"
"dbo","cmc_iprp_rep_proc","idcd_id","Encounter Procedure Replacement Table","Diagnosis Code","varchar"
"dbo","cmc_iprp_rep_proc","idcd_type","Encounter Procedure Replacement Table","ICD Version","char"
"dbo","cmc_iprp_rep_proc","iprp_meme_age_to","Encounter Procedure Replacement Table","High Age","smallint"
"dbo","cmc_iprp_rep_proc","iprp_ipcd_id_rep","Encounter Procedure Replacement Table","Replacement Procedure Code","char"
"dbo","cmc_iprp_rep_proc","iprp_lock_token","Encounter Procedure Replacement Table","Lock Token","smallint"
"dbo","cmc_iprp_rep_proc","atxr_source_id","Encounter Procedure Replacement Table","Attachment Source Id","datetime"
"dbo","cmc_iprp_rep_proc","sys_last_upd_dtm","Encounter Procedure Replacement Table","Last Update Datetime","datetime"
"dbo","cmc_iprp_rep_proc","sys_usus_id","Encounter Procedure Replacement Table","Last Update User ID","varchar"
"dbo","cmc_iprp_rep_proc","sys_dbuser_id","Encounter Procedure Replacement Table","Last Update DBMS User ID","varchar"
