"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_maar_matx","meme_ck","Member accumulator archive status table","Member Contrived Key","int"
"dbo","cmc_maar_matx","pdpd_acc_sfx","Member accumulator archive status table","Product Accumulator Suffix","char"
"dbo","cmc_maar_matx","matx_acc_type","Member accumulator archive status table","Accumulator Type","char"
"dbo","cmc_maar_matx","acac_acc_no","Member accumulator archive status table","Accumulator Number","smallint"
"dbo","cmc_maar_matx","matx_ben_beg_dt","Member accumulator archive status table","Benefit Period Begin Date","datetime"
"dbo","cmc_maar_matx","matx_seq_no_last","Member accumulator archive status table","Highest Sequence Number","int"
"dbo","cmc_maar_matx","maar_status","Member accumulator archive status table","Archive Status","char"
"dbo","cmc_maar_matx","maar_create_dt","Member accumulator archive status table","Accumulator Archive Create Date","datetime"
"dbo","cmc_maar_matx","maar_last_act_dt","Member accumulator archive status table","Last Action Date","datetime"
"dbo","cmc_maar_matx","maar_archive_path","Member accumulator archive status table","Archive File Location","varchar"
"dbo","cmc_maar_matx","sbsb_ck","Member accumulator archive status table","Subscriber Contrived Key","int"
"dbo","cmc_maar_matx","maar_lock_token","Member accumulator archive status table","Lock Token","smallint"
