"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcdb_debt_bank","mcdb_id","Debit Card Bank Record","Member ID","char"
"dbo","cmc_mcdb_debt_bank","mcdb_eff_dt","Debit Card Bank Record","Effective Date","datetime"
"dbo","cmc_mcdb_debt_bank","mcdb_term_dt","Debit Card Bank Record","Termination","datetime"
"dbo","cmc_mcdb_debt_bank","mcdb_name","Debit Card Bank Record","Name","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_addr1","Debit Card Bank Record","Address","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_addr2","Debit Card Bank Record","Address","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_addr3","Debit Card Bank Record","Address","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_city","Debit Card Bank Record","City","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_state","Debit Card Bank Record","State","char"
"dbo","cmc_mcdb_debt_bank","mcdb_zip","Debit Card Bank Record","Zip Code","char"
"dbo","cmc_mcdb_debt_bank","mcdb_county","Debit Card Bank Record","County","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_ctry_cd","Debit Card Bank Record","Country Code","char"
"dbo","cmc_mcdb_debt_bank","mcdb_phone","Debit Card Bank Record","Phone","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_phone_ext","Debit Card Bank Record","Ext","char"
"dbo","cmc_mcdb_debt_bank","mcdb_fax","Debit Card Bank Record","Fax","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_fax_ext","Debit Card Bank Record","Ext","char"
"dbo","cmc_mcdb_debt_bank","mcdb_email","Debit Card Bank Record","Internet/Email","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_sts","Debit Card Bank Record","Status","char"
"dbo","cmc_mcdb_debt_bank","mcdb_extnl_id1","Debit Card Bank Record","External ID","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_extnl_id2","Debit Card Bank Record","External ID 2","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_fsa_ind","Debit Card Bank Record","FSA","char"
"dbo","cmc_mcdb_debt_bank","mcdb_hra_ind","Debit Card Bank Record","HRA","char"
"dbo","cmc_mcdb_debt_bank","mcdb_hsa_ind","Debit Card Bank Record","H S A","char"
"dbo","cmc_mcdb_debt_bank","mcdb_last_upd_dtm","Debit Card Bank Record","Last Update Date and Time","datetime"
"dbo","cmc_mcdb_debt_bank","mcdb_lst_usus_id","Debit Card Bank Record","Last Update User ID","char"
"dbo","cmc_mcdb_debt_bank","mcdb_addl_data","Debit Card Bank Record","Additional Data","varchar"
"dbo","cmc_mcdb_debt_bank","mcdb_lock_token","Debit Card Bank Record","Lock Token","smallint"
"dbo","cmc_mcdb_debt_bank","atxr_source_id","Debit Card Bank Record","Attachment Source Id","datetime"
